territory,offset,cfr
Ireland,0,0.00381
Ireland,1,0.00396
Ireland,2,0.00411
Ireland,3,0.00442
Ireland,4,0.00365
Ireland,5,0.00503
Ireland,6,0.00503
Ireland,7,0.00503
Ireland,8,0.00503
Ireland,9,0.00533
Ireland,10,0.00548
Ireland,11,0.00609
Ireland,12,0.00579
Ireland,13,0.00640
Ireland,14,0.00655
Ireland,15,0.00655
Ireland,16,0.00716
Ireland,17,0.00746
Ireland,18,0.00746
Ireland,19,0.00868
Ireland,20,0.00914
Ireland,21,0.00914
Ireland,22,0.01112
Ireland,23,0.01127
Ireland,24,0.01127
Ireland,25,0.01233
Ireland,26,0.01218
Ireland,27,0.01264
Ireland,28,0.01340
Ireland,29,0.01416
Ireland,30,0.01492
Ireland,31,0.01553
Ireland,32,0.01705
Ireland,33,0.01599
Ireland,34,0.01629
Ireland,35,0.01705
United Kingdom,0,0.00485
United Kingdom,1,0.00551
United Kingdom,2,0.00610
United Kingdom,3,0.00654
United Kingdom,4,0.00709
United Kingdom,5,0.00745
United Kingdom,6,0.00775
United Kingdom,7,0.00790
United Kingdom,8,0.00833
United Kingdom,9,0.00893
United Kingdom,10,0.00954
United Kingdom,11,0.01033
United Kingdom,12,0.01102
United Kingdom,13,0.01161
United Kingdom,14,0.01200
United Kingdom,15,0.01313
United Kingdom,16,0.01426
United Kingdom,17,0.01540
United Kingdom,18,0.01645
United Kingdom,19,0.01765
United Kingdom,20,0.01812
United Kingdom,21,0.01879
United Kingdom,22,0.02077
United Kingdom,23,0.02226
United Kingdom,24,0.02371
United Kingdom,25,0.02555
United Kingdom,26,0.02836
United Kingdom,27,0.02918
United Kingdom,28,0.03262
United Kingdom,29,0.03493
United Kingdom,30,0.03696
United Kingdom,31,0.03904
United Kingdom,32,0.04156
United Kingdom,33,0.04266
United Kingdom,34,0.04366
United Kingdom,35,0.04732
France,0,0.00448
France,1,0.00471
France,2,0.00485
France,3,0.00510
France,4,0.00562
France,5,0.00573
France,6,0.00584
France,7,0.00601
France,8,0.00612
France,9,0.00631
France,10,0.00653
France,11,0.00664
France,12,0.00678
France,13,0.00693
France,14,0.00717
France,15,0.00739
France,16,0.00761
France,17,0.00776
France,18,0.00785
France,19,0.00810
France,20,0.00838
France,21,0.00873
France,22,0.00944
France,23,0.00990
France,24,0.01032
France,25,0.01088
France,26,0.01170
France,27,0.01258
France,28,0.01427
France,29,0.01488
France,30,0.01553
France,31,0.01738
France,32,0.01771
France,33,0.01843
France,34,0.01990
France,35,0.02290
Spain,0,0.00857
Spain,1,0.00904
Spain,2,0.00954
Spain,3,0.00929
Spain,4,0.00929
Spain,5,0.00929
Spain,6,0.00943
Spain,7,0.01007
Spain,8,0.01022
Spain,9,0.01041
Spain,10,0.01108
Spain,11,0.01108
Spain,12,0.01108
Spain,13,0.01141
Spain,14,0.01114
Spain,15,0.01104
Spain,16,0.01096
Spain,17,0.01142
Spain,18,0.01142
