territory,date,cases,deaths,weekTestRate,weekPosRate,cases2w,alarm
EU,2020-02-06,0.0003,0.0000,0.0559,0.0000,0.0023,-1
EU,2020-02-07,0.0004,0.0000,0.0559,0.0000,0.0041,-1
EU,2020-02-08,0.0008,0.0000,0.0559,0.0000,0.0182,-1
EU,2020-02-09,0.0012,0.0000,0.0316,0.0000,0.0300,-1
EU,2020-02-10,0.0019,0.0001,0.0316,0.0000,0.0523,-1
EU,2020-02-11,0.0027,0.0001,0.0316,0.0000,0.0759,-1
EU,2020-02-12,0.0034,0.0001,0.0316,0.0000,0.0984,-1
EU,2020-02-13,0.0058,0.0001,0.0316,0.0000,0.1722,-1
EU,2020-02-14,0.0080,0.0002,0.0316,0.0000,0.2413,-1
EU,2020-02-15,0.0108,0.0002,0.0316,0.0000,0.3281,-1
EU,2020-02-16,0.0159,0.0003,0.0377,0.0000,0.4869,-1
EU,2020-02-17,0.0195,0.0004,0.0377,0.0000,0.6002,-1
EU,2020-02-18,0.0246,0.0006,0.0377,0.0000,0.7588,-1
EU,2020-02-19,0.0312,0.0008,0.0377,0.0000,0.9644,-1
EU,2020-02-20,0.0420,0.0012,0.0377,0.0000,1.2991,-1
EU,2020-02-21,0.0551,0.0016,0.0377,0.0000,1.7037,-1
EU,2020-02-22,0.0700,0.0018,0.0377,0.0000,2.1488,-1
EU,2020-02-23,0.0894,0.0029,6.0164,0.0442,2.7390,-1
EU,2020-02-24,0.1146,0.0039,6.0164,0.0442,3.5001,-1
EU,2020-02-25,0.1370,0.0052,6.0164,0.0442,4.1705,-1
EU,2020-02-26,0.1754,0.0069,6.0164,0.0442,5.3399,-1
EU,2020-02-27,0.2246,0.0087,6.0164,0.0442,6.7896,-1
EU,2020-02-28,0.2762,0.0110,6.0164,0.0442,8.3202,-1
EU,2020-02-29,0.3360,0.0126,6.0164,0.0442,10.0886,-1
EU,2020-03-01,0.3936,0.0169,41.1628,0.0377,11.7132,-1
EU,2020-03-02,0.4690,0.0199,41.1628,0.0377,13.9399,-1
EU,2020-03-03,0.5521,0.0242,41.1628,0.0377,16.3561,-1
EU,2020-03-04,0.6464,0.0293,41.1628,0.0377,19.0733,-1
EU,2020-03-05,0.7965,0.0354,41.1628,0.0377,23.3919,-1
EU,2020-03-06,0.9437,0.0429,41.1628,0.0377,27.5488,-1
EU,2020-03-07,1.0864,0.0528,41.1628,0.0377,31.5120,-1
EU,2020-03-08,1.2201,0.0624,71.2189,0.0862,35.0536,-1
EU,2020-03-09,1.4048,0.0729,71.2189,0.0862,40.0014,-1
EU,2020-03-10,1.5757,0.0856,71.2189,0.0862,44.6176,-1
EU,2020-03-11,1.7751,0.0998,71.2189,0.0862,49.6190,-1
EU,2020-03-12,2.0028,0.1146,71.2189,0.0862,55.1758,-1
EU,2020-03-13,2.2263,0.1325,71.2189,0.0862,60.5282,-1
EU,2020-03-14,2.4227,0.1505,71.2189,0.0862,64.7855,-1
