ccode,est,exc,covid
ABW,32.8607,24.8987,18.3963
AFG,15.9524,0,1.8794
AGO,11.6264,0,0.5591
AIA,8.3805,0,6.4290
ALB,50.7986,40.7532,11.8790
AND,23.8586,9.5515,19.1014
ARE,8.9555,0,2.2827
ARG,35.7211,9.0394,27.1774
ARM,50.1676,0,27.4626
ATG,10.2353,-5.8225,13.7785
AUS,-3.3287,-5.2061,1.7770
AUT,19.7470,18.4245,15.8687
AZE,40.7500,0,8.8300
BDI,15.0937,0,0.0310
BEL,20.1468,19.7834,25.2202
BEN,4.5556,0,0.1309
BES,18.6775,0,11.8910
BFA,15.4867,0,0.1740
BGD,31.7520,0,1.7312
BGR,96.5384,91.1450,49.8745
BHR,16.5461,0,8.1451
BHS,22.0701,0,19.1152
BIH,71.2435,49.8294,45.3506
BLR,66.3460,34.9472,6.6017
BLZ,22.5344,3.0821,15.5943
BMU,19.1665,5.1540,19.3987
BOL,47.6875,39.3569,17.9712
BRA,35.0691,33.6533,29.7864
BRB,3.1492,-5.3028,10.1648
BRN,3.3740,-1.2899,2.2195
BTN,2.0369,0,0.0605
BWA,38.6076,0,10.8525
CAF,1.2055,0,0.2250
CAN,7.4759,5.8171,9.3042
CHE,16.0372,14.9129,14.8194
CHL,20.3583,20.4645,21.0497
CHN,1.9311,-0.5113,0.0315
CIV,9.0339,0,0.2917
CMR,16.1256,0,0.7096
COD,13.5163,0,0.1424
COG,18.3485,0,0.6679
COK,-6.5787,0,0
COL,34.9131,32.5735,26.7267
COM,11.0046,0,1.8010
CPV,25.0415,0,7.1345
CRI,14.0427,1.6491,14.9716
CUB,13.2183,0.4096,7.4828
CUW,22.3798,0,15.3372
CYM,1.5998,0,2.2569
CYP,9.7753,7.4810,8.6658
CZE,42.0941,40.1954,35.1824
DEU,13.4468,13.2293,14.2622
DJI,57.4650,0,1.8860
DMA,8.3926,0,7.2668
DNK,5.4091,4.5749,6.8360
DOM,6.2152,0.0295,3.9657
DZA,18.6514,11.8201,1.5033
ECU,41.2924,39.2804,12.2609
EGY,30.8647,20.5678,2.2338
ERI,-3.3911,0,0.2865
ESP,24.7701,24.3154,20.2309
EST,31.3271,28.7067,15.8522
ETH,14.9350,0,0.6294
FIN,7.9913,7.8741,3.7759
FJI,12.5592,0,9.0677
FLK,-8.1117,0,0
FRA,15.6560,14.2859,19.9710
FRO,-3.9822,-7.6339,4.3713
FSM,4.8479,0,0
GAB,18.9328,0,1.3254
GBR,21.4916,21.6957,23.2068
GEO,64.1633,18.1056,38.9226
GGY,-9.7714,0,0
GHA,7.4997,0,0.4487
GIB,16.8665,5.0373,29.9792
GIN,7.7442,0,0.3243
GMB,11.3424,0,1.4667
GNB,12.4713,0,0.7947
GNQ,3.6190,0,1.2554
GRC,29.0839,20.3964,23.8128
GRD,12.0561,0,18.7967
GRL,-1.7399,-6.1046,1.1818
GTM,27.8401,21.1827,9.0972
GUY,31.4772,0,15.0337
HKG,2.9481,2.8469,0.2877
HND,28.4971,0,10.4461
HRV,52.3601,45.9652,35.3805
HTI,14.3335,0,0.6984
HUN,47.4044,42.3256,43.5689
IDN,27.2561,0,5.2335
IMN,14.1383,0,8.8840
IND,40.4482,0,3.5645
IRL,8.0608,7.5583,12.4987
IRN,31.3400,30.4088,15.7033
IRQ,64.1492,0,5.9910
ISL,0.2580,-0.9614,1.4529
ISR,11.5828,8.5990,10.1822
ITA,32.6802,29.5541,24.9682
JAM,11.6372,-1.1105,9.1864
JEY,-9.3578,0,0
JOR,23.4966,4.1403,13.1204
JPN,1.6558,0.9775,1.5978
KAZ,44.7643,41.5713,9.8236
KEN,16.8751,0,1.0251
KGZ,21.1570,20.2557,4.4129
KHM,8.5893,0,1.7791
KIR,-3.5927,0,0.1767
KNA,5.4599,0,7.4978
KOR,-0.1670,0.4227,1.3781
KWT,18.5347,7.7974,5.8191
LAO,17.1644,0,0.8030
LBN,22.3696,18.4771,14.5112
LBR,10.5499,0,0.5598
LBY,37.1306,0,8.8000
LCA,36.7690,0,18.7264
LIE,12.2351,10.5458,19.3472
LKA,16.8614,0,7.3346
LSO,13.2516,0,3.2258
LTU,70.3686,66.1613,30.0588
LUX,5.2130,4.8803,15.3098
LVA,47.5023,42.6611,26.8547
MAC,3.7408,3.9234,0
MAR,17.9498,0,4.2183
MCO,48.4617,41.5078,12.3352
MDA,45.6716,30.3710,25.6254
MDG,11.7274,0,0.4667
MDV,15.5381,2.6635,5.3175
MEX,52.1632,46.5238,23.6310
MHL,-4.8355,0,0
MKD,81.1411,70.2117,41.9299
MLI,11.9207,0,0.3431
MLT,7.0125,8.1943,11.3213
MMR,24.6834,0,3.5233
MNE,62.9586,47.8155,41.9559
MNG,5.8376,3.3268,6.4338
MOZ,17.0011,0,0.6800
MRT,19.9874,0,2.0412
MSR,3.4328,0,3.4450
MUS,3.2960,-4.2752,6.1724
MWI,13.2337,0,1.3183
MYS,3.9582,-0.3437,9.7957
NAM,39.0644,0,15.4266
NCL,8.9239,0,9.8540
NER,19.6626,0,0.1208
NGA,9.7170,0,0.1485
NIC,26.3700,10.5002,0.3309
NIU,-6.2109,0,0
NLD,19.3606,18.9160,12.5001
NOR,4.0135,3.2357,2.7442
NPL,38.5137,0,4.0045
NRU,-4.3302,0,0
NZL,-5.4462,-5.1372,0.1034
OMN,8.6562,8.2782,8.0531
PAK,37.4728,0,1.3216
PAN,19.9236,14.6255,18.1059
PCN,-7.5793,0,0
PER,66.2443,64.0340,62.0460
PHL,25.5290,18.1925,4.9572
PLW,-2.9924,0,0.3934
PNG,-0.1839,0,0.6547
POL,48.1376,45.6794,28.4906
PRK,0.0633,0,0
PRT,23.7887,23.5673,20.1489
PRY,28.1382,25.7640,24.4513
PSE,16.3963,2.1850,9.8913
PYF,26.0285,19.8081,22.5370
QAT,2.8554,3.0727,2.2347
ROU,65.9230,57.9262,32.1044
RUS,79.8188,74.4266,22.7966
RWA,18.1619,0,1.0920
SAU,23.8819,0,2.5381
SDN,63.2352,0,0.8409
SEN,6.7609,0,1.1379
SGP,0.8494,-0.2293,1.6380
SHN,-9.1866,0,0
SLB,2.5093,0,0.8096
SLE,3.6125,0,0.1535
SLV,34.7047,7.5625,6.1240
SMR,44.3897,39.4380,31.9747
SOM,15.2673,0,0.8212
SPM,-4.4062,0,1.7345
SRB,84.6989,75.6951,20.9077
SSD,26.0821,0,0.1204
STP,9.2406,0,3.1799
SUR,35.4351,0,21.9425
SVK,52.8263,45.9364,33.1698
SVN,29.5181,26.1003,29.2110
SWE,13.2028,11.9086,15.9249
SWZ,45.8474,0,11.7905
SXM,-2.0932,0,0
SYC,3.0311,-10.1357,16.0944
SYR,7.9348,0,1.6544
TCA,14.2143,0,8.9280
TCD,26.0847,0,0.1123
TGO,11.1793,0,0.3190
THA,9.4250,8.9082,3.2056
TJK,15.7981,15.2111,0.1241
TKL,-5.4673,0,0
TKM,1.9522,0,0
TLS,14.2372,0,0.9132
TON,-3.7143,0,0
TTO,31.4318,0,25.0359
TUN,27.3325,3.6422,22.6349
TUR,40.5763,0,10.6073
TUV,3.8860,0,0
TWN,-1.7669,-1.7612,0.3567
TZA,10.1947,0,0.1286
UGA,12.7337,0,0.7602
UKR,49.3119,40.9812,25.1402
URY,11.4726,9.4730,19.3421
USA,33.5327,30.4321,27.5721
UZB,10.1114,10.2381,0.4711
VAT,-13.1505,0,0
VCT,12.8732,0,9.0921
VEN,20.1238,0,1.9234
VGB,19.4610,0,19.1151
VNM,19.5004,0,3.9578
VUT,-2.5849,0,0.0318
WLF,5.2109,0,6.3160
WSM,-3.2685,0,0
YEM,18.8551,0,0.6829
ZAF,41.7442,41.1241,16.0394
ZMB,18.0844,0,2.0820
ZWE,27.9795,0,3.5578
