territory,dateStr,cases,deaths,weekPositives,weekTests
Ireland,2020-01-21,0,0,0,0
United Kingdom,2020-01-21,0,0,0,0
France,2020-01-21,0,0,0,0
Spain,2020-01-21,0,0,0,0
Portugal,2020-01-21,0,0,0,0
Germany,2020-01-21,0,0,0,0
Denmark,2020-01-21,0,0,0,0
Netherlands,2020-01-21,0,0,0,0
Belgium,2020-01-21,0,0,0,0
Italy,2020-01-21,0,0,0,0
Austria,2020-01-21,0,0,0,0
Switzerland,2020-01-21,0,0,0,0
Sweden,2020-01-21,0,0,0,11
Norway,2020-01-21,0,0,0,0
Finland,2020-01-21,0,0,0,21
Iceland,2020-01-21,0,0,0,0
Luxembourg,2020-01-21,0,0,0,0
Poland,2020-01-21,0,0,0,0
Ukraine,2020-01-21,0,0,0,0
Belarus,2020-01-21,0,0,0,0
Slovenia,2020-01-21,0,0,0,0
Bosnia and Herzegovina,2020-01-21,0,0,0,0
Serbia,2020-01-21,0,0,0,0
Hungary,2020-01-21,0,0,0,0
Albania,2020-01-21,0,0,0,0
Romania,2020-01-21,0,0,0,0
Bulgaria,2020-01-21,0,0,0,0
Greece,2020-01-21,0,0,0,0
Slovakia,2020-01-21,0,0,0,0
Czech Republic,2020-01-21,0,0,0,0
Macedonia,2020-01-21,0,0,0,0
Montenegro,2020-01-21,0,0,0,0
Latvia,2020-01-21,0,0,0,0
Lithuania,2020-01-21,0,0,0,0
Estonia,2020-01-21,0,0,0,0
Cyprus,2020-01-21,0,0,0,0
Moldova,2020-01-21,0,0,0,0
Croatia,2020-01-21,0,0,0,0
West Europe,2020-01-21,0,0,0,32
East Europe,2020-01-21,0,0,0,0
Baltic states,2020-01-21,0,0,0,0
Scandinavia,2020-01-21,0,0,0,32
EU,2020-01-21,0,0,0,32
West EU,2020-01-21,0,0,0,32
East EU,2020-01-21,0,0,0,0
Europe,2020-01-21,0,0,0,32
Balkans,2020-01-21,0,0,0,0
Mediterranean EU,2020-01-21,0,0,0,0
Non-Med EU,2020-01-21,0,0,0,32
Ireland,2020-01-22,0,0,0,0
United Kingdom,2020-01-22,0,0,0,0
France,2020-01-22,0,0,0,0
Spain,2020-01-22,0,0,0,0
Portugal,2020-01-22,0,0,0,0
Germany,2020-01-22,0,0,0,0
Denmark,2020-01-22,0,0,0,0
Netherlands,2020-01-22,0,0,0,0
Belgium,2020-01-22,0,0,0,0
Italy,2020-01-22,0,0,0,0
Austria,2020-01-22,0,0,0,0
Switzerland,2020-01-22,0,0,0,0
Sweden,2020-01-22,0,0,0,11
Norway,2020-01-22,0,0,0,0
Finland,2020-01-22,0,0,0,21
Iceland,2020-01-22,0,0,0,0
Luxembourg,2020-01-22,0,0,0,0
Poland,2020-01-22,0,0,0,0
Ukraine,2020-01-22,0,0,0,0
Belarus,2020-01-22,0,0,0,0
Slovenia,2020-01-22,0,0,0,0
Bosnia and Herzegovina,2020-01-22,0,0,0,0
Serbia,2020-01-22,0,0,0,0
Hungary,2020-01-22,0,0,0,0
Albania,2020-01-22,0,0,0,0
Romania,2020-01-22,0,0,0,0
Bulgaria,2020-01-22,0,0,0,0
Greece,2020-01-22,0,0,0,0
Slovakia,2020-01-22,0,0,0,0
Czech Republic,2020-01-22,0,0,0,0
Macedonia,2020-01-22,0,0,0,0
Montenegro,2020-01-22,0,0,0,0
Latvia,2020-01-22,0,0,0,0
Lithuania,2020-01-22,0,0,0,0
Estonia,2020-01-22,0,0,0,0
Cyprus,2020-01-22,0,0,0,0
Moldova,2020-01-22,0,0,0,0
Croatia,2020-01-22,0,0,0,0
West Europe,2020-01-22,0,0,0,32
East Europe,2020-01-22,0,0,0,0
Baltic states,2020-01-22,0,0,0,0
Scandinavia,2020-01-22,0,0,0,32
EU,2020-01-22,0,0,0,32
West EU,2020-01-22,0,0,0,32
East EU,2020-01-22,0,0,0,0
Europe,2020-01-22,0,0,0,32
Balkans,2020-01-22,0,0,0,0
Mediterranean EU,2020-01-22,0,0,0,0
Non-Med EU,2020-01-22,0,0,0,32
Ireland,2020-01-23,0,0,0,0
