zemlja,country,before,now
Poljska,Poland,5,68
Hrvatska,Croatia,11,32
Japan,Japan,420,701
Bosna i Hercegovina,Bosnia and Herzegovina,2,13
Španjolska,Spain,400,5232
Češka,Czechia,18,141
Kina,China,67592,67786
Belgija,Belgium,109,559
Slovenija,Slovenia,7,141
Iran,Iran,4747,11364
Srbija,Serbia,1,35
Slovačka,Slovakia,1,32
Švedska,Sweden,101,814
Austrija,Austria,55,504
Singapur,Singapore,130,200
Italija,Italy,4636,17660
Norveška,Norway,108,996
Francuska,France,653,3661
Švicarska,Switzerland,214,1139
Njemačka,Germany,670,3675
Mađarska,Hungary,2,19
Južna Koreja,South Korea,6593,7979
Finska,Finland,15,155
Danska,Denmark,23,801
Rusija,Russia,13,45
Grčka,Greece,45,190
Brazil,Brasil,13,151
