date,zemlja,country,region,before,now
2020-03-20,Luksemburg,Luxembourg,WestEurope,34,484
2020-03-20,Belgija,Belgium,WestEurope,559,2257
2020-03-20,Ujedinjeno Kraljevstvo,United Kingdom,WestEurope,798,3983
2020-03-20,Irska,Ireland,WestEurope,90,683
2020-03-20,Francuska,France,WestEurope,3661,12612
2020-03-20,Nizozemska,Netherlands,WestEurope,804,2994
2020-03-20,Njemačka,Germany,CentralEurope,3675,19848
2020-03-20,Austrija,Austria,CentralEurope,504,2388
2020-03-20,Slovenija,Slovenia,CentralEurope,141,341
2020-03-20,Švicarska,Switzerland,CentralEurope,1139,5294
2020-03-20,Italija,Italy,SouthwestEurope,17660,47021
2020-03-20,Španjolska,Spain,SouthwestEurope,5232,20410
2020-03-20,Portugal,Portugal,SouthwestEurope,112,1020
2020-03-20,Češka,Czechia,MidEastEurope,141,833
2020-03-20,Slovačka,Slovakia,MidEastEurope,32,137
2020-03-20,Poljska,Poland,MidEastEurope,68,425
2020-03-20,Mađarska,Hungary,MidEastEurope,19,85
2020-03-20,Hrvatska,Croatia,SoutheastEurope,32,128
2020-03-20,Grčka,Greece,SoutheastEurope,190,495
2020-03-20,Bosna i Hercegovina,Bosnia and Herzegovina,SoutheastEurope,13,89
2020-03-20,Srbija,Serbia,SoutheastEurope,35,135
2020-03-20,Albanija,Albania,SoutheastEurope,33,70
2020-03-20,Turska,Turkey,SoutheastEurope,5,359
2020-03-20,Iran,Iran,MidAsia,11364,19644
2020-03-20,Rusija,Russia,MidAsia,45,253
2020-03-20,Izrael,Israel,MidAsia,161,705
2020-03-20,Brazil,Brazil,SouthAmerica,151,793
2020-03-20,Danska,Denmark,NorthEurope,801,1255
2020-03-20,Island,Iceland,NorthEurope,134,409
2020-03-20,Finska,Finland,NorthEurope,155,450
2020-03-20,Švedska,Sweden,NorthEurope,814,1639
2020-03-20,Norveška,Norway,NorthEurope,996,1914
2020-03-20,Japan,Japan,EastAsia,701,963
2020-03-20,Tajland,Thailand,EastAsia,75,322
2020-03-20,Južna Koreja,South Korea,EastAsia,7979,8652
2020-03-20,Kina,China,EastAsia,67786,67800
2020-03-20,Tajvan,Taiwan,EastAsia,50,135
2020-03-20,Singapur,Singapore,EastAsia,200,385
2020-03-20,Indonezija,Indonesia,EastAsia,69,369
2020-03-20,Malazija,Malaysia,EastAsia,197,1030
