ccode,week,group,denom,dose1,dose2,dose3,doseX,doses,cumDose1,cumDose2,cumDose3,cumDoses
AUT,2020-W53,ALL,8901064,5288,0,0,0,5288,5288,0,0,5288
AUT,2020-W53,U18,1542621,6,0,0,0,6,6,0,0,6
AUT,2021-W01,ALL,8901064,26236,0,0,0,26236,31524,0,0,31524
AUT,2021-W01,U18,1542621,24,0,0,0,24,30,0,0,30
AUT,2021-W02,ALL,8901064,85043,402,2,0,85447,116567,402,2,116971
AUT,2021-W02,U18,1542621,73,1,0,0,74,103,1,0,104
AUT,2021-W03,ALL,8901064,93345,4604,2,0,97951,209912,5006,4,214922
AUT,2021-W03,U18,1542621,37,4,0,0,41,140,5,0,145
AUT,2021-W04,ALL,8901064,31620,17550,1,0,49171,241532,22556,5,264093
AUT,2021-W04,U18,1542621,8,22,0,0,30,148,27,0,175
AUT,2021-W05,ALL,8901064,18585,79483,21,0,98089,260117,102039,26,362182
AUT,2021-W05,U18,1542621,21,62,0,0,83,169,89,0,258
AUT,2021-W06,ALL,8901064,28749,88424,8,0,117181,288866,190463,34,479363
AUT,2021-W06,U18,1542621,21,34,0,0,55,190,123,0,313
AUT,2021-W07,ALL,8901064,63542,39725,15,0,103282,352408,230188,49,582645
AUT,2021-W07,U18,1542621,46,14,0,0,60,236,137,0,373
AUT,2021-W08,ALL,8901064,106718,21340,5,0,128063,459126,251528,54,710708
AUT,2021-W08,U18,1542621,58,22,0,0,80,294,159,0,453
AUT,2021-W09,ALL,8901064,154448,15145,2,0,169595,613574,266673,56,880303
AUT,2021-W09,U18,1542621,60,14,0,0,74,354,173,0,527
AUT,2021-W10,ALL,8901064,227442,30861,5,0,258308,841016,297534,61,1138611
AUT,2021-W10,U18,1542621,702,22,0,0,724,1056,195,0,1251
AUT,2021-W11,ALL,8901064,190944,47863,13,0,238820,1031960,345397,74,1377431
AUT,2021-W11,U18,1542621,192,27,0,0,219,1248,222,0,1470
AUT,2021-W12,ALL,8901064,155567,93378,17,0,248962,1187527,438775,91,1626393
AUT,2021-W12,U18,1542621,130,43,0,0,173,1378,265,0,1643
AUT,2021-W13,ALL,8901064,143565,81179,16,0,224760,1331092,519954,107,1851153
AUT,2021-W13,U18,1542621,79,62,0,0,141,1457,327,0,1784
AUT,2021-W14,ALL,8901064,216098,137744,32,0,353874,1547190,657698,139,2205027
AUT,2021-W14,U18,1542621,128,636,0,0,764,1585,963,0,2548
AUT,2021-W15,ALL,8901064,277319,97901,24,0,375244,1824509,755599,163,2580271
AUT,2021-W15,U18,1542621,224,215,0,0,439,1809,1178,0,2987
AUT,2021-W16,ALL,8901064,292647,60153,9,0,352809,2117156,815752,172,2933080
AUT,2021-W16,U18,1542621,474,45,0,0,519,2283,1223,0,3506
AUT,2021-W17,ALL,8901064,289319,68992,12,0,358323,2406475,884744,184,3291403
AUT,2021-W17,U18,1542621,486,66,0,0,552,2769,1289,0,4058
AUT,2021-W18,ALL,8901064,334765,118016,40,0,452821,2741240,1002760,224,3744224
AUT,2021-W18,U18,1542621,854,92,0,0,946,3623,1381,0,5004
AUT,2021-W19,ALL,8901064,319647,105330,15,0,424992,3060887,1108090,239,4169216
AUT,2021-W19,U18,1542621,1197,135,0,0,1332,4820,1516,0,6336
AUT,2021-W20,ALL,8901064,360397,180377,22,0,540796,3421284,1288467,261,4710012
AUT,2021-W20,U18,1542621,2393,146,0,0,2539,7213,1662,0,8875
AUT,2021-W21,ALL,8901064,254083,234527,12,0,488622,3675367,1522994,273,5198634
AUT,2021-W21,U18,1542621,2160,393,0,0,2553,9373,2055,0,11428
AUT,2021-W22,ALL,8901064,304937,270355,25,0,575317,3980304,1793349,298,5773951
AUT,2021-W22,U18,1542621,5500,548,0,0,6048,14873,2603,0,17476
AUT,2021-W23,ALL,8901064,285444,338343,29,0,623816,4265748,2131692,327,6397767
AUT,2021-W23,U18,1542621,10100,530,0,0,10630,24973,3133,0,28106
AUT,2021-W24,ALL,8901064,236623,340429,39,0,577091,4502371,2472121,366,6974858
AUT,2021-W24,U18,1542621,17244,956,0,0,18200,42217,4089,0,46306
AUT,2021-W25,ALL,8901064,188186,400494,37,0,588717,4690557,2872615,403,7563575
AUT,2021-W25,U18,1542621,22907,2702,0,0,25609,65124,6791,0,71915
AUT,2021-W26,ALL,8901064,172031,417427,62,0,589520,4862588,3290042,465,8153095
AUT,2021-W26,U18,1542621,27056,5177,0,0,32233,92180,11968,0,104148
AUT,2021-W27,ALL,8901064,134410,339070,91,0,473571,4996998,3629112,556,8626666
AUT,2021-W27,U18,1542621,15913,8383,1,0,24297,108093,20351,1,128445
AUT,2021-W28,ALL,8901064,87250,304090,163,0,391503,5084248,3933202,719,9018169
AUT,2021-W28,U18,1542621,22440,8508,0,0,30948,130533,28859,1,159393
AUT,2021-W29,ALL,8901064,78704,265483,104,0,344291,5162952,4198685,823,9362460
AUT,2021-W29,U18,1542621,12006,14310,0,0,26316,142539,43169,1,185709
AUT,2021-W30,ALL,8901064,46929,223780,196,0,270905,5209881,4422465,1019,9633365
AUT,2021-W30,U18,1542621,9095,27611,2,0,36708,151634,70780,3,222417
AUT,2021-W31,ALL,8901064,46675,181117,241,0,228033,5256556,4603582,1260,9861398
AUT,2021-W31,U18,1542621,8908,27801,3,0,36712,160542,98581,6,259129
AUT,2021-W32,ALL,8901064,31780,120480,382,0,152642,5288336,4724062,1642,10014040
AUT,2021-W32,U18,1542621,5996,22131,6,0,28133,166538,120712,12,287262
AUT,2021-W33,ALL,8901064,37773,87231,508,0,125512,5326109,4811293,2150,10139552
AUT,2021-W33,U18,1542621,7182,17763,2,0,24947,173720,138475,14,312209
AUT,2021-W34,ALL,8901064,38905,39864,919,0,79688,5365014,4851157,3069,10219240
AUT,2021-W34,U18,1542621,8201,9366,6,0,17573,181921,147841,20,329782
AUT,2021-W35,ALL,8901064,39463,30422,3249,0,73134,5404477,4881579,6318,10292374
AUT,2021-W35,U18,1542621,8727,8101,11,0,16839,190648,155942,31,346621
AUT,2021-W36,ALL,8901064,44203,25196,5696,0,75095,5448680,4906775,12014,10367469
AUT,2021-W36,U18,1542621,8875,6772,11,0,15658,199523,162714,42,362279
AUT,2021-W37,ALL,8901064,48740,27926,12788,0,89454,5497420,4934701,24802,10456923
AUT,2021-W37,U18,1542621,9198,8064,14,0,17276,208721,170778,56,379555
AUT,2021-W38,ALL,8901064,46194,25864,22781,0,94839,5543614,4960565,47583,10551762
AUT,2021-W38,U18,1542621,9016,7357,11,0,16384,217737,178135,67,395939
AUT,2021-W39,ALL,8901064,35744,26742,33828,0,96314,5579358,4987307,81411,10648076
AUT,2021-W39,U18,1542621,7650,7939,17,0,15606,225387,186074,84,411545
AUT,2021-W40,ALL,8901064,28768,31326,63913,0,124007,5608126,5018633,145324,10772083
AUT,2021-W40,U18,1542621,6154,8258,19,0,14431,231541,194332,103,425976
AUT,2021-W41,ALL,8901064,23637,30152,65683,0,119472,5631763,5048785,211007,10891555
AUT,2021-W41,U18,1542621,5475,7713,34,0,13222,237016,202045,137,439198
AUT,2021-W42,ALL,8901064,30474,28024,82485,0,140983,5662237,5076809,293492,11032538
AUT,2021-W42,U18,1542621,5741,8426,40,0,14207,242757,210471,177,453405
AUT,2021-W43,ALL,8901064,45501,22559,63418,0,131478,5707738,5099368,356910,11164016
AUT,2021-W43,U18,1542621,7219,5331,54,0,12604,249976,215802,231,466009
