ccode,week,caseRate,deathRate
AUT,2021-01,331.735621718932,83.5855129229494
AUT,2021-02,287.370139120447,79.428706500706
AUT,2021-03,237.173892918869,73.8114005247013
AUT,2021-04,221.07469399164,66.171864397335
AUT,2021-05,209.323289889838,57.5212131942878
AUT,2021-06,208.694151620525,44.9384478080373
AUT,2021-07,236.960435291781,37.1865655611509
AUT,2021-08,290.190026720401,33.4791436169878
AUT,2021-09,342.869122163373,31.344567346106
AUT,2021-10,388.14460832997,32.6927207803472
AUT,2021-11,441.733707341055,38.4223728758719
AUT,2021-12,487.806850956245,40.4446030272336
AUT,2021-13,484.36905969893,44.0396788518766
AUT,2021-14,431.454037404966,47.4100624374794
AUT,2021-15,386.897566403297,45.9495628837182
AUT,2021-16,358.047082910537,40.7816413857939
AUT,2021-17,309.906770696177,35.5013737683495
AUT,2021-18,242.195764461417,30.108760031385
AUT,2021-19,165.789168575802,21.4581088283378
AUT,2021-20,111.132781429276,14.8296877766523
AUT,2021-21,82.1924210409003,11.1222658324892
AUT,2021-22,62.7340731400201,8.76299732256728
AUT,2021-23,46.1630205108064,6.17903657360513
AUT,2021-24,30.1874023150491,4.15680642224345
AUT,2021-25,18.8853826913277,3.03334522704252
AUT,2021-26,14.7398108810363,2.35926850992196
AUT,2021-27,19.3909402291681,1.23580731472103
AUT,2021-28,36.9169348743027,0.67407671712056
AUT,2021-29,53.0947760851961,1.01111507568084
AUT,2021-30,64.980995530422,1.01111507568084
AUT,2021-31,77.7210454840006,1.46049955376121
AUT,2021-32,107.492767156825,1.90988403184159
AUT,2021-33,156.902590521762,1.6851917928014
AUT,2021-34,196.616943772115,3.81976806368317
AUT,2021-35,233.028321108578,7.19015164928597
AUT,2021-36,284.977166774669,8.425958964007
AUT,2021-37,312.423323773428,11.4593041910495
AUT,2021-38,286.628654731614,14.7173416571322
AUT,2021-39,273.675147150947,13.8185727009715
AUT,2021-40,285.134451341997,13.1444959838509
AUT,2021-41,316.198153389303,15.5037644937729
AUT,2021-42,440.599011533902,16.851917928014
AUT,2021-43,656.449610967857,18.4247636012953
AUT,2021-44,1023.22598736511,26.9630686848224
AUT,2021-45,1520.48114697299,46.3989473617985
AUT,2021-46,1979.02183379425,64.0372881264532
AUT,2021-47,2022.63459739195,78.0805530664649
