ccode,date,dayNum,population,medAge,hdi,lifeExp,gdppc,age65p,deathRate,fullVacPct
AUT,2021-09-03,0,9043072,44.4,0.922,81.54,45436.686,19.202,1192.626,58.48
AUT,2021-09-10,7,9043072,44.4,0.922,81.54,45436.686,19.202,1197.823,58.99
AUT,2021-09-17,14,9043072,44.4,0.922,81.54,45436.686,19.202,1203.352,59.52
AUT,2021-09-24,21,9043072,44.4,0.922,81.54,45436.686,19.202,1211.203,60.06
AUT,2021-10-01,28,9043072,44.4,0.922,81.54,45436.686,19.202,1217.949,60.55
AUT,2021-10-08,35,9043072,44.4,0.922,81.54,45436.686,19.202,1225.69,61.09
AUT,2021-10-15,42,9043072,44.4,0.922,81.54,45436.686,19.202,1233.099,61.6
AUT,2021-10-22,49,9043072,44.4,0.922,81.54,45436.686,19.202,1242.166,62.11
AUT,2021-10-29,56,9043072,44.4,0.922,81.54,45436.686,19.202,1253.225,62.58
AUT,2021-11-05,63,9043072,44.4,0.922,81.54,45436.686,19.202,1266.273,63.08
AUT,2021-11-12,70,9043072,44.4,0.922,81.54,45436.686,19.202,1287.284,63.76
AUT,2021-11-19,77,9043072,44.4,0.922,81.54,45436.686,19.202,1321.564,64.69
AUT,2021-11-26,84,9043072,44.4,0.922,81.54,45436.686,19.202,1358.388,65.72
AUT,2021-12-03,91,9043072,44.4,0.922,81.54,45436.686,19.202,1403.616,66.97
AUT,2021-12-10,98,9043072,44.4,0.922,81.54,45436.686,19.202,1445.969,68.36
AUT,2021-12-17,105,9043072,44.4,0.922,81.54,45436.686,19.202,1485.999,69.81
AUT,2021-12-24,112,9043072,44.4,0.922,81.54,45436.686,19.202,1505.794,70.9
AUT,2021-12-31,119,9043072,44.4,0.922,81.54,45436.686,19.202,1518.621,71.65
AUT,2022-01-07,126,9043072,44.4,0.922,81.54,45436.686,19.202,1529.348,72.3
BEL,2021-09-03,0,11632334,41.8,0.931,81.63,42658.576,18.571,2183.311,70.74
BEL,2021-09-10,7,11632334,41.8,0.931,81.63,42658.576,18.571,2188.211,71.32
BEL,2021-09-17,14,11632334,41.8,0.931,81.63,42658.576,18.571,2191.907,71.8
BEL,2021-09-24,21,11632334,41.8,0.931,81.63,42658.576,18.571,2196.808,72.25
BEL,2021-10-01,28,11632334,41.8,0.931,81.63,42658.576,18.571,2201.794,72.75
BEL,2021-10-08,35,11632334,41.8,0.931,81.63,42658.576,18.571,2207.21,73.04
BEL,2021-10-15,42,11632334,41.8,0.931,81.63,42658.576,18.571,2213.399,73.36
BEL,2021-10-22,49,11632334,41.8,0.931,81.63,42658.576,18.571,2221.91,73.62
BEL,2021-10-29,56,11632334,41.8,0.931,81.63,42658.576,18.571,2234.633,73.9
BEL,2021-11-05,63,11632334,41.8,0.931,81.63,42658.576,18.571,2244.176,74.11
BEL,2021-11-12,70,11632334,41.8,0.931,81.63,42658.576,18.571,2262.745,74.32
BEL,2021-11-19,77,11632334,41.8,0.931,81.63,42658.576,18.571,2283.978,74.57
BEL,2021-11-26,84,11632334,41.8,0.931,81.63,42658.576,18.571,2307.362,74.8
BEL,2021-12-03,91,11632334,41.8,0.931,81.63,42658.576,18.571,2335.473,75.01
BEL,2021-12-10,98,11632334,41.8,0.931,81.63,42658.576,18.571,2364.444,75.22
BEL,2021-12-17,105,11632334,41.8,0.931,81.63,42658.576,18.571,2386.709,75.43
BEL,2021-12-24,112,11632334,41.8,0.931,81.63,42658.576,18.571,2419.893,75.61
BEL,2021-12-31,119,11632334,41.8,0.931,81.63,42658.576,18.571,2435.539,75.67
BEL,2022-01-07,126,11632334,41.8,0.931,81.63,42658.576,18.571,2446.543,75.75
