ccode,date,dayNum,caseRate,deathRate,fullVacPct,dosesPerPerson
AUT,2021-04-30,0,68435.815,1128.488,9.68,0.36
AUT,2021-05-07,7,69535.773,1144.633,10.87,0.41
AUT,2021-05-14,14,70305.755,1156.134,12.13,0.45
AUT,2021-05-21,21,70804.811,1164.87,14.17,0.51
AUT,2021-05-28,28,71182.558,1170.841,16.57,0.56
AUT,2021-06-04,35,71454.369,1175.596,19.81,0.63
AUT,2021-06-11,42,71677.744,1177.918,23.76,0.7
AUT,2021-06-18,49,71801.817,1180.683,27.79,0.76
AUT,2021-06-25,56,71879.998,1183.226,32.17,0.83
AUT,2021-07-02,63,71941.15,1184.221,37.04,0.9
AUT,2021-07-09,70,72020.99,1185.659,41.31,0.96
AUT,2021-07-16,77,72210.085,1186.323,44.98,1
AUT,2021-07-23,84,72496.271,1186.544,48.21,1.05
AUT,2021-07-30,91,72820.166,1187.318,51.23,1.08
AUT,2021-08-06,98,73196.586,1188.534,53.8,1.11
AUT,2021-08-13,105,73745.957,1189.087,55.78,1.13
AUT,2021-08-20,112,74540.709,1189.972,57.13,1.15
AUT,2021-08-27,119,75551.649,1191.63,57.94,1.16
AUT,2021-09-03,126,76679.252,1192.626,58.49,1.17
AUT,2021-09-10,133,78061.194,1197.823,59,1.18
AUT,2021-09-17,140,79669.276,1203.352,59.53,1.19
AUT,2021-09-24,147,80963.305,1211.203,60.07,1.21
AUT,2021-10-01,154,82379.528,1217.949,60.56,1.22
AUT,2021-10-08,161,83785.134,1225.69,61.09,1.23
AUT,2021-10-15,168,85274.451,1233.099,61.61,1.25
AUT,2021-10-22,175,87495.267,1242.166,62.12,1.27
AUT,2021-10-29,182,90588.132,1253.225,62.58,1.28
AUT,2021-11-05,189,95696.462,1266.273,63.08,1.31
AUT,2021-11-12,196,103388.318,1287.284,63.77,1.36
AUT,2021-11-19,203,113597.901,1321.564,64.7,1.43
AUT,2021-11-26,210,123977.118,1358.388,65.73,1.51
AUT,2021-12-03,217,131148.132,1403.616,66.98,1.6
AUT,2021-12-10,224,135030.994,1445.969,68.37,1.67
AUT,2021-12-17,231,137700.109,1485.999,69.83,1.75
AUT,2021-12-24,238,139416.229,1505.794,70.91,1.79
AUT,2021-12-31,245,141392.107,1518.621,71.66,1.82
BEL,2021-04-30,0,85127.284,2082.987,7.54,0.34
BEL,2021-05-07,7,86911.793,2104.737,9.74,0.4
BEL,2021-05-14,14,88383.294,2120.297,11.84,0.45
BEL,2021-05-21,21,89802.442,2132.762,14.71,0.52
BEL,2021-05-28,28,90945.033,2141.445,18.2,0.57
BEL,2021-06-04,35,91847.947,2150.385,21.88,0.65
BEL,2021-06-11,42,92413.784,2155.629,26.67,0.74
BEL,2021-06-18,49,92694.295,2159.24,30.53,0.83
BEL,2021-06-25,56,93057.507,2162.937,33.18,0.91
BEL,2021-07-02,63,93404.127,2165.086,35.94,0.97
BEL,2021-07-09,70,94022.403,2166.203,41.32,1.04
BEL,2021-07-16,77,94857.404,2167.149,47.26,1.12
BEL,2021-07-23,84,95609.445,2167.837,53.24,1.19
BEL,2021-07-30,91,96688.678,2169.9,58.91,1.26
BEL,2021-08-06,98,97721.231,2172.221,63.28,1.31
BEL,2021-08-13,105,98851.099,2173.854,66.15,1.35
BEL,2021-08-20,112,100042.347,2176.691,67.94,1.37
BEL,2021-08-27,119,101261.621,2180.13,69.61,1.39
BEL,2021-09-03,126,102473.674,2183.311,70.74,1.41
BEL,2021-09-10,133,103634.92,2188.211,71.32,1.41
BEL,2021-09-17,140,104864.08,2191.907,71.8,1.42
BEL,2021-09-24,147,106059.798,2196.808,72.25,1.43
BEL,2021-10-01,154,107218.121,2201.794,72.75,1.45
BEL,2021-10-08,161,108413.496,2207.21,73.04,1.47
BEL,2021-10-15,168,110026.844,2213.399,73.36,1.48
BEL,2021-10-22,175,112820.007,2221.91,73.62,1.5
BEL,2021-10-29,182,116971.366,2234.633,73.9,1.51
BEL,2021-11-05,189,120659.19,2244.176,74.11,1.52
BEL,2021-11-12,196,127636.638,2262.745,74.32,1.54
BEL,2021-11-19,203,135957.238,2283.978,74.57,1.56
BEL,2021-11-26,210,146284.744,2307.362,74.8,1.61
BEL,2021-12-03,217,157102.349,2335.473,75.01,1.66
BEL,2021-12-10,224,165897.231,2364.444,75.22,1.71
BEL,2021-12-17,231,171088.622,2386.709,75.43,1.77
BEL,2021-12-24,238,175210.839,2419.893,75.61,1.83
BEL,2021-12-31,245,180990.591,2435.539,75.67,1.86
BGR,2021-04-30,0,58634.222,2377.819,3.09,0.12
BGR,2021-05-07,7,59375.886,2448.433,4.12,0.13
BGR,2021-05-14,14,60005.611,2500.198,5.94,0.16
BGR,2021-05-21,21,60379.561,2533.692,7.17,0.18
BGR,2021-05-28,28,60624.462,2559.502,7.89,0.19
BGR,2021-06-04,35,60802.954,2582.411,8.93,0.21
BGR,2021-06-11,42,60929.973,2594.446,10.07,0.23
BGR,2021-06-18,49,61038.866,2608.076,10.81,0.24
BGR,2021-06-25,56,61114.7,2613.731,11.36,0.25
BGR,2021-07-02,63,61186.619,2621.996,11.87,0.26
BGR,2021-07-09,70,61249.113,2629.971,12.28,0.27
BGR,2021-07-16,77,61315.667,2634.466,12.36,0.27
BGR,2021-07-23,84,61417.455,2637.945,12.36,0.27
BGR,2021-07-30,91,61605.517,2640.555,14.47,0.29
BGR,2021-08-06,98,61983.817,2646.355,15,0.3
BGR,2021-08-13,105,62688.216,2658.1,15.51,0.31
BGR,2021-08-20,112,63808.614,2676.515,16.09,0.32
BGR,2021-08-27,119,65269.903,2710.009,16.71,0.33
BGR,2021-09-03,126,66799.195,2762.354,17.34,0.34
BGR,2021-09-10,133,68138.25,2821.513,17.88,0.35
BGR,2021-09-17,140,69711.621,2893.432,18.45,0.36
BGR,2021-09-24,147,71241.348,2961.291,18.94,0.36
BGR,2021-10-01,154,73115.59,3040.459,19.36,0.37
BGR,2021-10-08,161,75253.148,3129.923,19.71,0.37
BGR,2021-10-15,168,77972.872,3217.212,20.05,0.38
BGR,2021-10-22,175,81883.029,3331.325,20.74,0.39
BGR,2021-10-29,182,86737.556,3461.388,21.81,0.41
BGR,2021-11-05,189,91157.235,3616.246,22.61,0.43
BGR,2021-11-12,196,94713.887,3788.068,23.42,0.44
BGR,2021-11-19,203,97308.043,3932.921,24.46,0.46
BGR,2021-11-26,210,99672.957,4059.359,25.36,0.48
BGR,2021-12-03,217,101711.482,4171.443,26.07,0.49
BGR,2021-12-10,224,103395.487,4271.491,26.62,0.51
BGR,2021-12-17,231,104896.214,4351.965,27.1,0.52
BGR,2021-12-24,238,106303.563,4418.954,27.51,0.53
BGR,2021-12-31,245,108329.038,4488.408,27.77,0.54
HRV,2021-04-30,0,81384.35,1734.835,4.87,0.22
HRV,2021-05-07,7,83908.814,1810.049,5.96,0.26
HRV,2021-05-14,14,85525.07,1877.669,7.37,0.32
HRV,2021-05-21,21,86537.649,1924.709,9.6,0.38
HRV,2021-05-28,28,87125.645,1958.028,11.46,0.42
HRV,2021-06-04,35,87512.743,1976.403,13.62,0.46
HRV,2021-06-11,42,87802.331,1990.123,16.79,0.51
HRV,2021-06-18,49,87962.07,2001.148,21.45,0.57
HRV,2021-06-25,56,88082.12,2008.008,25.24,0.61
HRV,2021-07-02,63,88215.889,2011.928,27.74,0.65
HRV,2021-07-09,70,88366.073,2015.358,30.59,0.68
HRV,2021-07-16,77,88529.977,2017.318,32.39,0.71
HRV,2021-07-23,84,88764.196,2020.013,33.81,0.73
HRV,2021-07-30,91,89031.734,2022.218,34.92,0.75
HRV,2021-08-06,98,89326.222,2026.138,37.07,0.76
HRV,2021-08-13,105,89756.93,2028.588,37.89,0.78
HRV,2021-08-20,112,90376.776,2032.263,38.62,0.79
HRV,2021-08-27,119,91193.111,2037.898,39.31,0.8
HRV,2021-09-03,126,92221.615,2046.963,39.89,0.81
HRV,2021-09-10,133,93576.212,2061.173,40.02,0.82
HRV,2021-09-17,140,95464.661,2077.833,40.02,0.82
HRV,2021-09-24,147,97450.864,2098.657,40.02,0.83
HRV,2021-10-01,154,99544.621,2119.237,40.02,0.84
HRV,2021-10-08,161,101761.613,2144.227,40.02,0.85
HRV,2021-10-15,168,104042.549,2171.177,42.94,0.86
HRV,2021-10-22,175,107663.873,2201.312,43.42,0.87
HRV,2021-10-29,182,113307.414,2246.147,43.98,0.88
HRV,2021-11-05,189,120067.414,2302.986,44.5,0.9
HRV,2021-11-12,196,129429.298,2394.616,45.36,0.94
HRV,2021-11-19,203,137322.661,2493.595,46.3,0.97
HRV,2021-11-26,210,145645.506,2607.764,47.15,1
HRV,2021-12-03,217,152824.208,2718.504,47.33,1.03
HRV,2021-12-10,224,158759.788,2821.403,47.33,1.07
HRV,2021-12-17,231,164134.321,2910.338,47.33,1.11
HRV,2021-12-24,238,169007.587,2996.822,47.33,1.14
HRV,2021-12-31,245,175233.98,3071.792,47.86,1.16
CYP,2021-04-30,0,73885.748,344.864,6.72,0.26
CYP,2021-05-07,7,77586.621,367.185,8.89,0.37
CYP,2021-05-14,14,79962.723,382.81,11.63,0.47
CYP,2021-05-21,21,81122.315,391.739,16.48,0.56
CYP,2021-05-28,28,81818.74,399.551,21.32,0.64
CYP,2021-06-04,35,82306.46,405.132,26.51,0.71
CYP,2021-06-11,42,82785.252,415.176,29.89,0.77
CYP,2021-06-18,49,83219.402,418.524,33.06,0.83
CYP,2021-06-25,56,84034.129,418.524,36.17,0.87
CYP,2021-07-02,63,86874.515,418.524,40.65,0.93
CYP,2021-07-09,70,92731.625,425.221,45.19,0.99
CYP,2021-07-16,77,100405.69,428.569,46.99,1.02
CYP,2021-07-23,84,108050.736,445.31,48.69,1.06
CYP,2021-07-30,91,114163.425,465.399,50.17,1.09
CYP,2021-08-06,98,118516.08,485.488,52.43,1.13
CYP,2021-08-13,105,122330.791,512.274,54.77,1.17
CYP,2021-08-20,112,125267.158,532.363,56.26,1.19
CYP,2021-08-27,119,127514.913,558.033,57.48,1.21
CYP,2021-09-03,126,129561.777,577.006,58.82,1.23
CYP,2021-09-10,133,131196.813,597.095,59.49,1.25
CYP,2021-09-17,140,132331.851,608.256,60.33,1.26
CYP,2021-09-24,147,133348.586,613.836,61.13,1.28
CYP,2021-10-01,154,134231.394,616.068,61.91,1.3
CYP,2021-10-08,161,135034.961,622.764,62.51,1.31
CYP,2021-10-15,168,136154.374,624.997,62.97,1.33
CYP,2021-10-22,175,137271.555,633.925,63.26,1.34
CYP,2021-10-29,182,138411.058,638.389,63.51,1.35
CYP,2021-11-05,189,139969.085,642.854,63.83,1.37
CYP,2021-11-12,196,141780.459,655.13,64.1,1.38
CYP,2021-11-19,203,144148.749,657.362,64.34,1.4
CYP,2021-11-26,210,147265.919,659.595,64.91,1.45
CYP,2021-12-03,217,151893.126,668.523,65.3,1.49
CYP,2021-12-10,224,156282.61,677.452,65.88,1.55
CYP,2021-12-17,231,160942.182,688.612,66.63,1.61
CYP,2021-12-24,238,166941.033,699.773,67.84,1.72
CYP,2021-12-31,245,186189.809,712.05,67.84,1.72
CZE,2021-04-30,0,152058.366,2728.972,9.51,0.3
CZE,2021-05-07,7,153171.512,2760.768,9.97,0.34
CZE,2021-05-14,14,153962.408,2783.985,10.39,0.39
CZE,2021-05-21,21,154493.525,2796.387,11.26,0.43
CZE,2021-05-28,28,154829.856,2805.525,13.32,0.49
CZE,2021-06-04,35,155068.468,2810.56,16.12,0.54
CZE,2021-06-11,42,155236.214,2817.74,19.38,0.61
CZE,2021-06-18,49,155327.499,2822.961,23.37,0.67
CZE,2021-06-25,56,155408.435,2824.547,27.8,0.73
CZE,2021-07-02,63,155494.406,2826.039,32.47,0.8
CZE,2021-07-09,70,155614.038,2828.183,35.5,0.84
CZE,2021-07-16,77,155771.807,2828.556,39.24,0.89
CZE,2021-07-23,84,155916.988,2829.675,42.67,0.93
CZE,2021-07-30,91,156037.179,2831.167,45.24,0.97
CZE,2021-08-06,98,156144.223,2831.54,47.4,1
CZE,2021-08-13,105,156264.601,2832.006,49.63,1.02
CZE,2021-08-20,112,156389.175,2833.125,51.49,1.05
CZE,2021-08-27,119,156514.122,2834.524,53.14,1.07
CZE,2021-09-03,126,156654.175,2835.083,54.05,1.08
CZE,2021-09-10,133,156880.664,2835.829,54.63,1.09
CZE,2021-09-17,140,157156.667,2837.135,55.1,1.09
CZE,2021-09-24,147,157438.45,2839.372,55.49,1.1
CZE,2021-10-01,154,157807.23,2841.61,55.8,1.11
CZE,2021-10-08,161,158333.965,2843.568,56.08,1.11
CZE,2021-10-15,168,159071.525,2846.552,56.33,1.12
CZE,2021-10-22,175,160607.72,2852.613,56.56,1.13
CZE,2021-10-29,182,163371.471,2863.056,56.87,1.14
CZE,2021-11-05,189,167946.767,2884.782,57.32,1.17
CZE,2021-11-12,196,174083.619,2923.665,57.78,1.19
CZE,2021-11-19,203,182554.555,2972.525,58.35,1.22
CZE,2021-11-26,210,194866.583,3043.763,59.16,1.25
CZE,2021-12-03,217,206253.072,3119.011,59.85,1.29
CZE,2021-12-10,224,215648.708,3192.86,60.47,1.34
CZE,2021-12-17,231,222690.214,3267.829,61.23,1.39
CZE,2021-12-24,238,224437.233,3290.394,61.72,1.42
CZE,2021-12-31,245,230846.824,3368.812,62.03,1.44
DNK,2021-04-30,0,43100.118,427.124,10.8,0.33
DNK,2021-05-07,7,44295.824,429.188,13.71,0.39
DNK,2021-05-14,14,45493.078,429.876,16.93,0.45
DNK,2021-05-21,21,46773.417,431.08,19.65,0.51
DNK,2021-05-28,28,47889.478,432.112,20.94,0.57
DNK,2021-06-04,35,49033.062,432.973,22.78,0.62
DNK,2021-06-11,42,49734.557,434.005,25,0.71
DNK,2021-06-18,49,50095.453,434.865,27.43,0.76
DNK,2021-06-25,56,50328.368,435.381,30.65,0.86
DNK,2021-07-02,63,50655.892,436.241,34.89,0.93
DNK,2021-07-09,70,51277.914,436.585,39.32,1.01
DNK,2021-07-16,77,52367.656,437.101,44.3,1.09
DNK,2021-07-23,84,53347.822,437.273,49.84,1.19
DNK,2021-07-30,91,54369.788,438.305,54.3,1.26
DNK,2021-08-06,98,55393.475,438.993,58.56,1.32
DNK,2021-08-13,105,56596.062,440.025,64.19,1.38
DNK,2021-08-20,112,57750.655,440.885,68.44,1.43
DNK,2021-08-27,119,58912.129,443.122,71.07,1.46
DNK,2021-09-03,126,59847.054,445.014,72.67,1.48
DNK,2021-09-10,133,60473.892,448.626,73.55,1.49
DNK,2021-09-17,140,60906.521,451.035,74.21,1.51
DNK,2021-09-24,147,61294.94,454.131,74.7,1.52
DNK,2021-10-01,154,61795.689,457.399,75.05,1.52
DNK,2021-10-08,161,62397.928,459.119,75.27,1.53
DNK,2021-10-15,168,63183.884,460.84,75.47,1.54
DNK,2021-10-22,175,64301.321,463.764,75.62,1.55
DNK,2021-10-29,182,66155.173,466.0,75.78,1.57
DNK,2021-11-05,189,68471.929,468.753,75.92,1.59
DNK,2021-11-12,196,71758.013,473.569,76.08,1.61
DNK,2021-11-19,203,76184.069,481.138,76.27,1.63
DNK,2021-11-26,210,81002.673,490.255,76.47,1.67
DNK,2021-12-03,217,86312.392,503.5,76.79,1.71
DNK,2021-12-10,224,93371.031,515.37,77.22,1.76
DNK,2021-12-17,231,103292.07,525.347,77.61,1.88
DNK,2021-12-24,238,117839.397,548.225,78.01,2.02
DNK,2021-12-31,245,138027.751,561.987,78.7,2.09
EST,2021-04-30,0,92076.747,876.102,9.86,0.35
EST,2021-05-07,7,93970.818,900.25,12.47,0.39
EST,2021-05-14,14,95565.308,918.36,14.4,0.43
EST,2021-05-21,21,96823.243,934.962,16.7,0.48
EST,2021-05-28,28,97568.798,940.999,19.34,0.52
EST,2021-06-04,35,98103.062,950.808,21.77,0.57
EST,2021-06-11,42,98414.715,955.336,25.31,0.62
EST,2021-06-18,49,98666.001,956.091,29.43,0.67
EST,2021-06-25,56,98784.474,957.6,31.3,0.7
EST,2021-07-02,63,98946.715,957.6,34.21,0.73
EST,2021-07-09,70,99152.724,958.355,36.75,0.77
EST,2021-07-16,77,99414.574,959.109,38.95,0.8
EST,2021-07-23,84,99806.216,959.109,40.99,0.83
EST,2021-07-30,91,100595.538,959.864,42.45,0.85
EST,2021-08-06,98,101661.047,963.637,43.76,0.88
EST,2021-08-13,105,103004.253,965.146,45.05,0.91
EST,2021-08-20,112,104504.417,966.655,46.26,0.93
EST,2021-08-27,119,106167.578,971.183,47.29,0.95
EST,2021-09-03,126,108045.802,977.974,48.53,0.97
EST,2021-09-10,133,110086.267,987.784,49.88,0.98
EST,2021-09-17,140,112378.772,997.594,51.36,1
EST,2021-09-24,147,115024.434,1013.441,52.92,1.02
EST,2021-10-01,154,118463.192,1024.006,54.09,1.03
EST,2021-10-08,161,122801.444,1049.662,54.89,1.04
EST,2021-10-15,168,128403.668,1067.773,55.65,1.05
EST,2021-10-22,175,134780.876,1093.43,56.42,1.06
EST,2021-10-29,182,143527.56,1133.424,57.24,1.08
EST,2021-11-05,189,152905.852,1193.038,57.89,1.09
EST,2021-11-12,196,158877.08,1254.162,58.35,1.1
EST,2021-11-19,203,163056.864,1300.193,58.77,1.11
EST,2021-11-26,210,166402.05,1343.96,59.25,1.11
EST,2021-12-03,217,169179.769,1365.844,59.77,1.12
EST,2021-12-10,224,171633.006,1392.255,60.4,1.13
EST,2021-12-17,231,174403.179,1414.139,61,1.14
EST,2021-12-24,238,177837.409,1439.041,61.37,1.14
EST,2021-12-31,245,182168.87,1457.906,61.64,1.15
FIN,2021-04-30,0,15645.701,164.733,2.89,0.31
FIN,2021-05-07,7,15920.377,166.175,3.21,0.35
FIN,2021-05-14,14,16164.413,167.797,3.91,0.39
FIN,2021-05-21,21,16429.537,167.978,5.21,0.43
FIN,2021-05-28,28,16625.45,170.861,6.93,0.48
FIN,2021-06-04,35,16768.556,172.844,8.92,0.53
FIN,2021-06-11,42,16880.661,173.745,11.12,0.59
FIN,2021-06-18,49,16969.696,174.286,13.37,0.65
FIN,2021-06-25,56,17071.528,174.646,15.52,0.71
FIN,2021-07-02,63,17334.849,175.367,17.81,0.76
FIN,2021-07-09,70,17599.972,175.908,20.95,0.82
FIN,2021-07-16,77,17949.805,176.268,24.66,0.88
FIN,2021-07-23,84,18391.377,176.449,28.01,0.92
FIN,2021-07-30,91,19106.183,177.35,31.72,0.97
