ccode,date,dayNum,caseRate,caseWeek,deathRate,deathWeek,fullVacPct,dosesPerPerson
AUT,2021-04-30,0,68435.815,,1128.488,,9.68,0.36
AUT,2021-05-07,7,69535.773,1099.9579999999987,1144.633,16.144999999999982,10.87,0.41
AUT,2021-05-14,14,70305.755,769.9820000000036,1156.134,11.500999999999976,12.13,0.45
AUT,2021-05-21,21,70804.811,499.05599999999686,1164.87,8.735999999999876,14.17,0.51
AUT,2021-05-28,28,71182.558,377.747000000003,1170.841,5.971000000000004,16.57,0.56
AUT,2021-06-04,35,71454.369,271.8110000000015,1175.596,4.755000000000109,19.81,0.63
AUT,2021-06-11,42,71677.744,223.375,1177.918,2.321999999999889,23.76,0.7
AUT,2021-06-18,49,71801.817,124.0729999999894,1180.683,2.7650000000001,27.79,0.76
AUT,2021-06-25,56,71879.998,78.18100000001141,1183.226,2.54300000000012,32.17,0.83
AUT,2021-07-02,63,71941.15,61.15199999998731,1184.221,0.9949999999998909,37.04,0.9
AUT,2021-07-09,70,72020.99,79.84000000001106,1185.659,1.4380000000001019,41.31,0.96
AUT,2021-07-16,77,72210.085,189.09500000000116,1186.323,0.6639999999999873,44.98,1
AUT,2021-07-23,84,72496.271,286.18599999998696,1186.544,0.22100000000000364,48.21,1.05
AUT,2021-07-30,91,72820.166,323.8950000000041,1187.318,0.7739999999998872,51.23,1.08
AUT,2021-08-06,98,73196.586,376.41999999999825,1188.534,1.2160000000001219,53.8,1.11
AUT,2021-08-13,105,73745.957,549.3709999999992,1189.087,0.5529999999998836,55.78,1.13
AUT,2021-08-20,112,74540.709,794.7520000000077,1189.972,0.8849999999999909,57.13,1.15
AUT,2021-08-27,119,75551.649,1010.9400000000023,1191.63,1.6580000000001291,57.94,1.16
AUT,2021-09-03,126,76679.252,1127.6029999999882,1192.626,0.9959999999998672,58.49,1.17
AUT,2021-09-10,133,78061.194,1381.94200000001,1197.823,5.197000000000116,59,1.18
AUT,2021-09-17,140,79669.276,1608.0819999999949,1203.352,5.528999999999996,59.53,1.19
AUT,2021-09-24,147,80963.305,1294.028999999995,1211.203,7.850999999999885,60.07,1.21
AUT,2021-10-01,154,82379.528,1416.2230000000127,1217.949,6.746000000000095,60.56,1.22
AUT,2021-10-08,161,83785.134,1405.6059999999998,1225.69,7.7409999999999854,61.09,1.23
AUT,2021-10-15,168,85274.451,1489.3169999999955,1233.099,7.408999999999878,61.61,1.25
AUT,2021-10-22,175,87495.267,2220.816000000006,1242.166,9.067000000000007,62.12,1.27
AUT,2021-10-29,182,90588.132,3092.8649999999907,1253.225,11.058999999999969,62.58,1.28
AUT,2021-11-05,189,95696.462,5108.330000000002,1266.273,13.048000000000002,63.08,1.31
AUT,2021-11-12,196,103388.318,7691.856,1287.284,21.011000000000195,63.77,1.36
AUT,2021-11-19,203,113597.901,10209.582999999999,1321.564,34.27999999999997,64.7,1.43
AUT,2021-11-26,210,123977.118,10379.217000000004,1358.388,36.82399999999984,65.73,1.51
AUT,2021-12-03,217,131148.132,7171.01400000001,1403.616,45.228000000000065,66.98,1.6
AUT,2021-12-10,224,135030.994,3882.8619999999937,1445.969,42.353000000000065,68.37,1.67
AUT,2021-12-17,231,137700.109,2669.1149999999907,1485.999,40.02999999999997,69.83,1.75
AUT,2021-12-24,238,139416.229,1716.1199999999953,1505.794,19.795000000000073,70.91,1.79
AUT,2021-12-31,245,141392.107,1975.877999999997,1518.621,12.826999999999998,71.66,1.82
BEL,2021-04-30,0,85127.284,,2082.987,,7.54,0.34
BEL,2021-05-07,7,86911.793,1784.5090000000055,2104.737,21.75,9.74,0.4
BEL,2021-05-14,14,88383.294,1471.5009999999893,2120.297,15.559999999999945,11.84,0.45
BEL,2021-05-21,21,89802.442,1419.148000000001,2132.762,12.465000000000146,14.71,0.52
BEL,2021-05-28,28,90945.033,1142.5910000000003,2141.445,8.682999999999993,18.2,0.57
BEL,2021-06-04,35,91847.947,902.9140000000043,2150.385,8.940000000000055,21.88,0.65
BEL,2021-06-11,42,92413.784,565.8369999999995,2155.629,5.243999999999687,26.67,0.74
BEL,2021-06-18,49,92694.295,280.5109999999986,2159.24,3.6109999999998763,30.53,0.83
BEL,2021-06-25,56,93057.507,363.21199999999953,2162.937,3.6970000000001164,33.18,0.91
BEL,2021-07-02,63,93404.127,346.61999999999534,2165.086,2.1489999999998872,35.94,0.97
BEL,2021-07-09,70,94022.403,618.2760000000126,2166.203,1.1170000000001892,41.32,1.04
BEL,2021-07-16,77,94857.404,835.0009999999893,2167.149,0.9459999999999127,47.26,1.12
BEL,2021-07-23,84,95609.445,752.041000000012,2167.837,0.6880000000001019,53.24,1.19
