ccode,date,dayNum,fullVacPct,dosesPerPerson
AUT,2021-04-30,0,9.68,0.36
AUT,2021-05-07,7,10.87,0.41
AUT,2021-05-14,14,12.13,0.45
AUT,2021-05-21,21,14.17,0.51
AUT,2021-05-28,28,16.57,0.56
AUT,2021-06-04,35,19.81,0.63
AUT,2021-06-11,42,23.76,0.7
AUT,2021-06-18,49,27.79,0.76
AUT,2021-06-25,56,32.17,0.83
AUT,2021-07-02,63,37.04,0.9
AUT,2021-07-09,70,41.31,0.96
AUT,2021-07-16,77,44.98,1
AUT,2021-07-23,84,48.21,1.05
AUT,2021-07-30,91,51.23,1.08
AUT,2021-08-06,98,53.8,1.11
AUT,2021-08-13,105,55.78,1.13
AUT,2021-08-20,112,57.13,1.15
AUT,2021-08-27,119,57.94,1.16
AUT,2021-09-03,126,58.49,1.17
AUT,2021-09-10,133,59,1.18
AUT,2021-09-17,140,59.53,1.19
AUT,2021-09-24,147,60.07,1.21
AUT,2021-10-01,154,60.56,1.22
AUT,2021-10-08,161,61.09,1.23
AUT,2021-10-15,168,61.61,1.25
AUT,2021-10-22,175,62.12,1.27
AUT,2021-10-29,182,62.58,1.28
AUT,2021-11-05,189,63.08,1.31
AUT,2021-11-12,196,63.77,1.36
AUT,2021-11-19,203,64.7,1.43
AUT,2021-11-26,210,65.73,1.51
AUT,2021-12-03,217,66.98,1.6
AUT,2021-12-10,224,68.37,1.67
AUT,2021-12-17,231,69.83,1.75
AUT,2021-12-24,238,70.91,1.79
AUT,2021-12-31,245,71.66,1.82
BEL,2021-04-30,0,7.54,0.34
BEL,2021-05-07,7,9.74,0.4
BEL,2021-05-14,14,11.84,0.45
BEL,2021-05-21,21,14.71,0.52
BEL,2021-05-28,28,18.2,0.57
BEL,2021-06-04,35,21.88,0.65
BEL,2021-06-11,42,26.67,0.74
BEL,2021-06-18,49,30.53,0.83
BEL,2021-06-25,56,33.18,0.91
BEL,2021-07-02,63,35.94,0.97
BEL,2021-07-09,70,41.32,1.04
BEL,2021-07-16,77,47.26,1.12
BEL,2021-07-23,84,53.24,1.19
BEL,2021-07-30,91,58.91,1.26
BEL,2021-08-06,98,63.28,1.31
BEL,2021-08-13,105,66.15,1.35
BEL,2021-08-20,112,67.94,1.37
BEL,2021-08-27,119,69.61,1.39
BEL,2021-09-03,126,70.74,1.41
BEL,2021-09-10,133,71.32,1.41
BEL,2021-09-17,140,71.8,1.42
BEL,2021-09-24,147,72.25,1.43
BEL,2021-10-01,154,72.75,1.45
BEL,2021-10-08,161,73.04,1.47
BEL,2021-10-15,168,73.36,1.48
BEL,2021-10-22,175,73.62,1.5
BEL,2021-10-29,182,73.9,1.51
BEL,2021-11-05,189,74.11,1.52
BEL,2021-11-12,196,74.32,1.54
BEL,2021-11-19,203,74.57,1.56
BEL,2021-11-26,210,74.8,1.61
BEL,2021-12-03,217,75.01,1.66
BEL,2021-12-10,224,75.22,1.71
BEL,2021-12-17,231,75.43,1.77
BEL,2021-12-24,238,75.61,1.83
BEL,2021-12-31,245,75.67,1.86
BGR,2021-04-30,0,3.09,0.12
BGR,2021-05-07,7,4.12,0.13
BGR,2021-05-14,14,5.94,0.16
BGR,2021-05-21,21,7.17,0.18
BGR,2021-05-28,28,7.89,0.19
BGR,2021-06-04,35,8.93,0.21
BGR,2021-06-11,42,10.07,0.23
BGR,2021-06-18,49,10.81,0.24
BGR,2021-06-25,56,11.36,0.25
BGR,2021-07-02,63,11.87,0.26
BGR,2021-07-09,70,12.28,0.27
BGR,2021-07-16,77,12.36,0.27
BGR,2021-07-23,84,12.36,0.27
BGR,2021-07-30,91,14.47,0.29
BGR,2021-08-06,98,15,0.3
BGR,2021-08-13,105,15.51,0.31
BGR,2021-08-20,112,16.09,0.32
BGR,2021-08-27,119,16.71,0.33
BGR,2021-09-03,126,17.34,0.34
BGR,2021-09-10,133,17.88,0.35
BGR,2021-09-17,140,18.45,0.36
BGR,2021-09-24,147,18.94,0.36
BGR,2021-10-01,154,19.36,0.37
BGR,2021-10-08,161,19.71,0.37
BGR,2021-10-15,168,20.05,0.38
BGR,2021-10-22,175,20.74,0.39
BGR,2021-10-29,182,21.81,0.41
BGR,2021-11-05,189,22.61,0.43
BGR,2021-11-12,196,23.42,0.44
BGR,2021-11-19,203,24.46,0.46
BGR,2021-11-26,210,25.36,0.48
BGR,2021-12-03,217,26.07,0.49
BGR,2021-12-10,224,26.62,0.51
BGR,2021-12-17,231,27.1,0.52
BGR,2021-12-24,238,27.51,0.53
BGR,2021-12-31,245,27.77,0.54
HRV,2021-04-30,0,4.87,0.22
HRV,2021-05-07,7,5.96,0.26
HRV,2021-05-14,14,7.37,0.32
HRV,2021-05-21,21,9.6,0.38
HRV,2021-05-28,28,11.46,0.42
HRV,2021-06-04,35,13.62,0.46
HRV,2021-06-11,42,16.79,0.51
HRV,2021-06-18,49,21.45,0.57
HRV,2021-06-25,56,25.24,0.61
HRV,2021-07-02,63,27.74,0.65
HRV,2021-07-09,70,30.59,0.68
HRV,2021-07-16,77,32.39,0.71
HRV,2021-07-23,84,33.81,0.73
HRV,2021-07-30,91,34.92,0.75
HRV,2021-08-06,98,37.07,0.76
HRV,2021-08-13,105,37.89,0.78
HRV,2021-08-20,112,38.62,0.79
HRV,2021-08-27,119,39.31,0.8
HRV,2021-09-03,126,39.89,0.81
HRV,2021-09-10,133,40.02,0.82
HRV,2021-09-17,140,40.02,0.82
HRV,2021-09-24,147,40.02,0.83
HRV,2021-10-01,154,40.02,0.84
HRV,2021-10-08,161,40.02,0.85
HRV,2021-10-15,168,42.94,0.86
HRV,2021-10-22,175,43.42,0.87
HRV,2021-10-29,182,43.98,0.88
HRV,2021-11-05,189,44.5,0.9
HRV,2021-11-12,196,45.36,0.94
HRV,2021-11-19,203,46.3,0.97
HRV,2021-11-26,210,47.15,1
HRV,2021-12-03,217,47.33,1.03
HRV,2021-12-10,224,47.33,1.07
HRV,2021-12-17,231,47.33,1.11
HRV,2021-12-24,238,47.33,1.14
HRV,2021-12-31,245,47.86,1.16
CYP,2021-04-30,0,6.72,0.26
CYP,2021-05-07,7,8.89,0.37
CYP,2021-05-14,14,11.63,0.47
CYP,2021-05-21,21,16.48,0.56
CYP,2021-05-28,28,21.32,0.64
CYP,2021-06-04,35,26.51,0.71
CYP,2021-06-11,42,29.89,0.77
CYP,2021-06-18,49,33.06,0.83
CYP,2021-06-25,56,36.17,0.87
CYP,2021-07-02,63,40.65,0.93
CYP,2021-07-09,70,45.19,0.99
CYP,2021-07-16,77,46.99,1.02
CYP,2021-07-23,84,48.69,1.06
CYP,2021-07-30,91,50.17,1.09
CYP,2021-08-06,98,52.43,1.13
CYP,2021-08-13,105,54.77,1.17
CYP,2021-08-20,112,56.26,1.19
CYP,2021-08-27,119,57.48,1.21
CYP,2021-09-03,126,58.82,1.23
CYP,2021-09-10,133,59.49,1.25
CYP,2021-09-17,140,60.33,1.26
CYP,2021-09-24,147,61.13,1.28
CYP,2021-10-01,154,61.91,1.3
CYP,2021-10-08,161,62.51,1.31
CYP,2021-10-15,168,62.97,1.33
CYP,2021-10-22,175,63.26,1.34
CYP,2021-10-29,182,63.51,1.35
CYP,2021-11-05,189,63.83,1.37
