w,date,cases,deaths
1,2020-02-04,0.0007,0.0000
1,2020-02-07,0.0002,0.0000
1,2020-02-08,0.0014,0.0000
1,2020-02-10,0.0002,0.0000
1,2020-02-12,0.0005,0.0000
1,2020-02-15,0.0000,0.0002
1,2020-02-17,0.0002,0.0000
1,2020-02-22,0.0032,0.0000
1,2020-02-23,0.0141,0.0005
1,2020-02-24,0.0120,0.0000
1,2020-02-25,0.0223,0.0009
1,2020-02-26,0.0241,0.0011
1,2020-02-27,0.0225,0.0005
1,2020-02-28,0.0738,0.0011
1,2020-02-29,0.0691,0.0009
1,2020-03-01,0.0868,0.0018
1,2020-03-02,0.1590,0.0014
1,2020-03-03,0.1134,0.0041
1,2020-03-04,0.1586,0.0066
1,2020-03-05,0.2056,0.0064
1,2020-03-06,0.3347,0.0105
1,2020-03-07,0.4078,0.0123
1,2020-03-08,0.4592,0.0084
1,2020-03-09,0.6023,0.0327
1,2020-03-10,0.7834,0.0304
1,2020-03-11,0.6945,0.0407
1,2020-03-12,1.1918,0.0541
1,2020-03-13,1.5235,0.0554
1,2020-03-14,1.5996,0.0711
1,2020-03-15,1.8552,0.0500
1,2020-03-16,1.7837,0.1322
1,2020-03-17,2.3401,0.0931
1,2020-03-18,2.5747,0.1347
1,2020-03-19,2.9228,0.1579
1,2020-03-20,4.6533,0.1870
1,2020-03-21,4.5647,0.2336
1,2020-03-22,4.4223,0.3072
1,2020-03-23,4.1439,0.2963
1,2020-03-24,5.7311,0.3281
1,2020-03-25,5.3108,0.3917
1,2020-03-26,6.1932,0.4423
1,2020-03-27,7.0804,0.4578
1,2020-03-28,6.9520,0.5580
1,2020-03-29,6.1125,0.5566
1,2020-03-30,5.3372,0.5378
1,2020-03-31,6.1157,0.5823
1,2020-04-01,7.1074,0.6566
1,2020-04-02,6.7323,0.6318
1,2020-04-03,6.1212,0.6577
1,2020-04-04,6.8098,1.0171
1,2020-04-05,5.8935,0.7625
1,2020-04-06,4.2819,0.5468
1,2020-04-07,5.1077,0.6470
1,2020-04-08,5.2045,0.8667
1,2020-04-09,5.7366,0.6514
1,2020-04-10,6.0780,0.8133
1,2020-04-11,5.7622,0.6798
1,2020-04-12,4.7115,0.5939
1,2020-04-13,3.6596,0.5364
1,2020-04-14,3.5346,0.5505
1,2020-04-15,4.7819,0.7066
1,2020-04-16,4.1567,0.8447
1,2020-04-17,4.6290,0.6534
1,2020-04-18,3.9445,0.6264
1,2020-04-19,3.0191,0.5269
1,2020-04-20,2.8101,0.4221
1,2020-04-21,3.1173,0.4937
1,2020-04-22,3.4249,0.5507
1,2020-04-23,3.5367,0.5041
1,2020-04-24,3.2409,0.4855
1,2020-04-25,3.3331,0.4385
1,2020-04-26,2.4743,0.4369
1,2020-04-27,1.9975,0.2349
1,2020-04-28,2.0781,0.4421
1,2020-04-29,1.8586,0.4178
1,2020-04-30,2.3512,0.3830
1,2020-05-01,2.1772,0.3335
1,2020-05-02,1.7421,0.2829
1,2020-05-03,1.4667,0.2767
1,2020-05-04,1.2234,0.2047
1,2020-05-05,1.3984,0.2581
1,2020-05-06,1.6535,0.3013
1,2020-05-07,2.5566,0.2969
1,2020-05-08,1.7932,0.2576
1,2020-05-09,1.6662,0.2585
1,2020-05-10,1.8307,0.1690
1,2020-05-11,0.8492,0.1434
1,2020-05-12,1.0996,0.2158
1,2020-05-13,1.3902,0.2465
1,2020-05-14,1.2907,0.1915
1,2020-05-15,1.3775,0.2413
1,2020-05-16,1.1725,0.1745
1,2020-05-17,1.0078,0.1252
1,2020-05-18,0.6493,0.1054
1,2020-05-19,0.8731,0.1338
1,2020-05-20,1.1098,0.1504
1,2020-05-21,1.1366,0.1293
1,2020-05-22,1.2284,0.2590
1,2020-05-23,1.0083,0.1052
1,2020-05-24,0.8233,0.0979
1,2020-05-25,0.4741,-0.3844
1,2020-05-26,0.8765,0.1406
1,2020-05-27,0.8424,0.0845
1,2020-05-28,1.0419,0.0859
1,2020-05-29,1.7253,0.0822
1,2020-05-30,1.0891,0.0718
1,2020-05-31,1.0153,0.0725
1,2020-06-01,0.5659,0.0513
1,2020-06-02,0.6348,0.0513
1,2020-06-03,0.4998,0.0693
1,2020-06-04,0.8595,0.0670
1,2020-06-05,0.9876,0.0620
1,2020-06-06,1.0648,0.0675
1,2020-06-07,0.8645,0.0479
1,2020-06-08,0.6377,0.0336
1,2020-06-09,0.8008,0.0570
1,2020-06-10,0.8595,0.0675
1,2020-06-11,1.0142,0.0529
1,2020-06-12,1.0024,0.0395
1,2020-06-13,1.0126,0.0413
1,2020-06-14,0.9060,0.0441
1,2020-06-15,0.6420,0.0298
1,2020-06-16,0.7156,0.0334
1,2020-06-17,0.8922,0.0586
1,2020-06-18,1.1678,0.0425
1,2020-06-19,1.1380,0.3172
1,2020-06-20,1.0189,0.0350
1,2020-06-21,0.9249,0.0327
1,2020-06-22,0.6386,0.0216
1,2020-06-23,0.8008,0.0275
1,2020-06-24,0.9706,0.0413
1,2020-06-25,1.1316,0.0177
1,2020-06-26,0.9601,0.0364
1,2020-06-27,1.4040,0.0291
1,2020-06-28,0.7325,0.0154
1,2020-06-29,0.6025,0.0218
1,2020-06-30,1.0301,0.0284
1,2020-07-01,0.8960,0.0373
1,2020-07-02,1.0128,0.0257
1,2020-07-03,1.0067,0.0320
1,2020-07-04,0.8776,0.0257
1,2020-07-05,0.6273,0.0195
1,2020-07-06,0.7729,0.0141
1,2020-07-07,0.8860,0.0225
1,2020-07-08,0.7620,0.0307
1,2020-07-09,1.0342,0.0270
1,2020-07-10,1.0844,0.0220
1,2020-07-11,0.8990,0.0200
1,2020-07-12,0.7177,0.0148
1,2020-07-13,0.9574,0.0132
1,2020-07-14,1.0969,0.0214
1,2020-07-15,0.8838,0.0211
1,2020-07-16,1.2816,0.0386
1,2020-07-17,1.2729,0.0216
1,2020-07-18,1.0735,0.0170
1,2020-07-19,0.7279,0.0143
1,2020-07-20,1.6539,0.0105
1,2020-07-21,1.5308,0.0157
1,2020-07-22,1.2841,0.0202
1,2020-07-23,1.8873,0.0223
1,2020-07-24,1.8298,0.0229
1,2020-07-25,1.3745,0.0177
1,2020-07-26,0.9092,0.0098
1,2020-07-27,2.2299,0.0114
1,2020-07-28,1.8954,0.0179
1,2020-07-29,1.7139,0.0218
1,2020-07-30,2.2122,0.0225
1,2020-07-31,2.3662,0.0225
1,2020-08-01,1.6249,0.0223
1,2020-08-02,1.0137,0.0129
1,2020-08-03,2.7515,0.0243
1,2020-08-04,3.1429,0.0248
1,2020-08-05,2.1960,0.0239
1,2020-08-06,2.9153,0.0268
1,2020-08-07,2.9460,0.0266
1,2020-08-08,2.1272,0.0279
1,2020-08-09,1.2891,0.0216
1,2020-08-10,2.9030,0.0323
1,2020-08-11,3.2227,0.0232
1,2020-08-12,2.5488,0.0257
1,2020-08-13,4.0108,0.0332
1,2020-08-14,3.6219,0.0354
1,2020-08-15,2.3666,0.0268
1,2020-08-16,2.1485,0.0568
1,2020-08-17,5.4033,0.0232
1,2020-08-18,2.5977,0.0286
1,2020-08-19,3.3917,0.0586
1,2020-08-20,4.2769,0.0311
1,2020-08-21,4.9407,0.0311
1,2020-08-22,2.8326,0.0300
1,2020-08-23,2.3044,0.0204
1,2020-08-24,6.7335,0.0232
1,2020-08-25,3.6012,0.0366
1,2020-08-26,4.0608,0.0395
1,2020-08-27,5.4017,0.0343
1,2020-08-28,5.2883,0.0309
1,2020-08-29,3.7214,0.0268
1,2020-08-30,2.8610,0.0184
1,2020-08-31,7.9680,0.0345
1,2020-09-01,4.0340,0.0404
1,2020-09-02,4.6951,0.0432
1,2020-09-03,5.7350,0.0395
1,2020-09-04,6.1032,0.0643
1,2020-09-05,4.3418,0.0214
1,2020-09-06,3.9045,0.0241
1,2020-09-07,9.2585,0.0418
1,2020-09-08,5.0086,0.0436
1,2020-09-09,5.7409,0.0402
1,2020-09-10,7.1111,0.0488
1,2020-09-11,7.6927,0.0377
1,2020-09-12,5.2385,0.0393
1,2020-09-13,4.9143,0.0223
1,2020-09-14,9.8616,0.0434
1,2020-09-15,6.0937,0.0693
1,2020-09-16,7.5550,0.0968
1,2020-09-17,8.3726,0.0738
1,2020-09-18,9.7710,0.0568
1,2020-09-19,6.9332,0.0668
1,2020-09-20,6.3738,0.0320
1,2020-09-21,12.3591,0.0652
1,2020-09-22,6.9557,0.0941
1,2020-09-23,8.5339,0.0795
1,2020-09-24,9.5642,0.0727
1,2020-09-25,10.8524,0.0793
1,2020-09-26,8.4224,0.0720
1,2020-09-27,7.2458,0.0541
1,2020-09-28,13.1339,0.0770
1,2020-09-29,7.0704,0.0952
1,2020-09-30,8.7423,0.1059
1,2020-10-01,10.1027,0.0981
1,2020-10-02,12.0606,0.0843
1,2020-10-03,9.1399,0.0793
1,2020-10-04,9.2671,0.0550
1,2020-10-05,11.6576,0.0600
1,2020-10-06,11.1319,0.1456
1,2020-10-07,11.5781,0.1100
1,2020-10-08,15.7956,0.1286
1,2020-10-09,16.8527,0.1359
1,2020-10-10,15.9660,0.0870
1,2020-10-11,15.7570,0.0879
1,2020-10-12,17.8274,0.1152
