country,w,offset,r
Albania,0,0,0.6600
Albania,0,1,0.7096
Albania,0,10,0.7764
Albania,0,11,0.7890
Albania,0,12,0.8128
Albania,0,13,0.8145
Albania,0,14,0.8277
Albania,0,15,0.8128
Albania,0,16,0.8051
Albania,0,17,0.7797
Albania,0,18,0.7781
Albania,0,19,0.7832
Albania,0,2,0.7109
Albania,0,20,0.7888
Albania,0,21,0.7923
Albania,0,22,0.7987
Albania,0,23,0.7657
Albania,0,24,0.7208
Albania,0,25,0.7177
Albania,0,26,0.7175
Albania,0,27,0.7258
Albania,0,3,0.7343
Albania,0,4,0.7368
Albania,0,5,0.7277
Albania,0,6,0.6972
Albania,0,7,0.7073
Albania,0,8,0.7837
Albania,0,9,0.7706
Albania,1,0,0.7528
Albania,1,1,0.7832
Albania,1,10,0.8528
Albania,1,11,0.8650
Albania,1,12,0.8801
Albania,1,13,0.8869
Albania,1,14,0.8967
Albania,1,15,0.9008
Albania,1,16,0.8978
Albania,1,17,0.8796
Albania,1,18,0.8608
Albania,1,19,0.8519
Albania,1,2,0.7995
Albania,1,20,0.8522
Albania,1,21,0.8558
Albania,1,22,0.8513
Albania,1,23,0.8393
Albania,1,24,0.8264
Albania,1,25,0.8184
Albania,1,26,0.8154
Albania,1,27,0.8165
Albania,1,3,0.8125
Albania,1,4,0.8181
Albania,1,5,0.8269
Albania,1,6,0.8350
Albania,1,7,0.8343
Albania,1,8,0.8344
Albania,1,9,0.8373
Albania,15,0,0.8100
Albania,15,1,0.8279
Albania,15,10,0.9065
Albania,15,11,0.9095
Albania,15,12,0.9121
Albania,15,13,0.9139
Albania,15,14,0.9157
Albania,15,15,0.9174
Albania,15,16,0.9183
Albania,15,17,0.9181
Albania,15,18,0.9167
Albania,15,19,0.9148
Albania,15,2,0.8437
Albania,15,20,0.9119
Albania,15,21,0.9087
Albania,15,22,0.9051
Albania,15,23,0.9017
Albania,15,24,0.8985
Albania,15,25,0.8946
Albania,15,26,0.8910
Albania,15,27,0.8881
Albania,15,3,0.8571
Albania,15,4,0.8686
Albania,15,5,0.8790
Albania,15,6,0.8877
Albania,15,7,0.8937
Albania,15,8,0.8986
Albania,15,9,0.9026
Albania,3,0,0.8083
Albania,3,1,0.8257
Albania,3,10,0.9136
Albania,3,11,0.9204
Albania,3,12,0.9246
Albania,3,13,0.9279
Albania,3,14,0.9309
Albania,3,15,0.9338
Albania,3,16,0.9345
Albania,3,17,0.9297
Albania,3,18,0.9233
Albania,3,19,0.9153
Albania,3,2,0.8426
Albania,3,20,0.9073
Albania,3,21,0.8983
Albania,3,22,0.8891
Albania,3,23,0.8819
Albania,3,24,0.8771
Albania,3,25,0.8741
Albania,3,26,0.8734
Albania,3,27,0.8736
Albania,3,3,0.8577
Albania,3,4,0.8696
Albania,3,5,0.8818
Albania,3,6,0.8899
Albania,3,7,0.8957
Albania,3,8,0.9013
Albania,3,9,0.9054
Albania,7,0,0.8365
Albania,7,1,0.8549
Albania,7,10,0.9290
Albania,7,11,0.9313
Albania,7,12,0.9330
Albania,7,13,0.9339
Albania,7,14,0.9349
Albania,7,15,0.9360
Albania,7,16,0.9353
Albania,7,17,0.9331
Albania,7,18,0.9305
Albania,7,19,0.9278
Albania,7,2,0.8711
Albania,7,20,0.9234
Albania,7,21,0.9192
Albania,7,22,0.9152
Albania,7,23,0.9109
Albania,7,24,0.9071
Albania,7,25,0.9031
Albania,7,26,0.8996
Albania,7,27,0.8960
Albania,7,3,0.8848
Albania,7,4,0.8952
Albania,7,5,0.9049
Albania,7,6,0.9126
Albania,7,7,0.9177
Albania,7,8,0.9219
Albania,7,9,0.9255
Austria,0,0,0.3770
Austria,0,1,0.3802
Austria,0,10,0.6705
Austria,0,11,0.7001
Austria,0,12,0.7372
Austria,0,13,0.7378
Austria,0,14,0.7406
Austria,0,15,0.7609
Austria,0,16,0.7262
Austria,0,17,0.7123
Austria,0,18,0.7076
Austria,0,19,0.6811
Austria,0,2,0.3915
Austria,0,20,0.6438
Austria,0,21,0.6568
Austria,0,22,0.6367
Austria,0,23,0.5957
Austria,0,24,0.5600
Austria,0,25,0.5575
Austria,0,26,0.5289
Austria,0,27,0.6044
Austria,0,3,0.4927
Austria,0,4,0.5126
Austria,0,5,0.5517
Austria,0,6,0.5948
Austria,0,7,0.6467
Austria,0,8,0.6690
Austria,0,9,0.6767
Austria,1,0,0.3932
Austria,1,1,0.4179
Austria,1,10,0.7849
Austria,1,11,0.7942
Austria,1,12,0.8225
Austria,1,13,0.8567
Austria,1,14,0.8817
Austria,1,15,0.8877
Austria,1,16,0.8848
Austria,1,17,0.8686
Austria,1,18,0.8329
Austria,1,19,0.7868
Austria,1,2,0.4369
Austria,1,20,0.7512
Austria,1,21,0.7484
Austria,1,22,0.7539
Austria,1,23,0.7329
Austria,1,24,0.6864
Austria,1,25,0.6318
Austria,1,26,0.6055
Austria,1,27,0.5922
Austria,1,3,0.4793
Austria,1,4,0.5461
Austria,1,5,0.6184
Austria,1,6,0.6845
Austria,1,7,0.7388
Austria,1,8,0.7722
Austria,1,9,0.7833
Austria,15,0,0.5422
Austria,15,1,0.5959
Austria,15,10,0.9486
Austria,15,11,0.9670
Austria,15,12,0.9806
Austria,15,13,0.9892
Austria,15,14,0.9926
Austria,15,15,0.9904
Austria,15,16,0.9831
Austria,15,17,0.9706
Austria,15,18,0.9531
Austria,15,19,0.9310
Austria,15,2,0.6474
Austria,15,20,0.9050
Austria,15,21,0.8758
Austria,15,22,0.8436
Austria,15,23,0.8085
Austria,15,24,0.7705
Austria,15,25,0.7308
Austria,15,26,0.6900
Austria,15,27,0.6481
Austria,15,3,0.6968
Austria,15,4,0.7437
Austria,15,5,0.7876
Austria,15,6,0.8282
Austria,15,7,0.8649
Austria,15,8,0.8974
Austria,15,9,0.9253
Austria,3,0,0.3901
Austria,3,1,0.4499
Austria,3,10,0.8790
Austria,3,11,0.9012
Austria,3,12,0.9190
Austria,3,13,0.9312
Austria,3,14,0.9357
Austria,3,15,0.9324
Austria,3,16,0.9250
Austria,3,17,0.9112
Austria,3,18,0.8874
Austria,3,19,0.8553
Austria,3,2,0.5087
Austria,3,20,0.8225
Austria,3,21,0.7922
Austria,3,22,0.7615
Austria,3,23,0.7277
Austria,3,24,0.6937
Austria,3,25,0.6665
Austria,3,26,0.6431
Austria,3,27,0.6164
Austria,3,3,0.5685
Austria,3,4,0.6273
Austria,3,5,0.6811
Austria,3,6,0.7295
Austria,3,7,0.7746
Austria,3,8,0.8168
Austria,3,9,0.8518
Austria,7,0,0.4324
Austria,7,1,0.4948
Austria,7,10,0.9203
Austria,7,11,0.9408
Austria,7,12,0.9555
Austria,7,13,0.9633
Austria,7,14,0.9644
Austria,7,15,0.9593
Austria,7,16,0.9488
Austria,7,17,0.9324
Austria,7,18,0.9093
Austria,7,19,0.8814
Austria,7,2,0.5558
Austria,7,20,0.8508
Austria,7,21,0.8187
Austria,7,22,0.7854
Austria,7,23,0.7504
Austria,7,24,0.7139
Austria,7,25,0.6771
Austria,7,26,0.6407
Austria,7,27,0.6035
Austria,7,3,0.6153
Austria,7,4,0.6726
Austria,7,5,0.7265
Austria,7,6,0.7760
Austria,7,7,0.8206
Austria,7,8,0.8599
Austria,7,9,0.8932
Belarus,0,0,-0.1452
Belarus,0,1,-0.1074
Belarus,0,10,0.0274
Belarus,0,11,0.0677
Belarus,0,12,0.1178
Belarus,0,13,0.1571
Belarus,0,14,0.1775
Belarus,0,15,0.2225
Belarus,0,16,0.2553
Belarus,0,17,0.2881
Belarus,0,18,0.3023
Belarus,0,19,0.3276
Belarus,0,2,-0.0931
Belarus,0,20,0.3309
Belarus,0,21,0.3273
Belarus,0,22,0.3750
Belarus,0,23,0.3880
Belarus,0,24,0.3954
Belarus,0,25,0.4179
Belarus,0,26,0.4059
Belarus,0,27,0.4045
Belarus,0,3,-0.0605
Belarus,0,4,-0.0752
Belarus,0,5,-0.0861
Belarus,0,6,-0.0751
Belarus,0,7,-0.0455
Belarus,0,8,-0.0455
Belarus,0,9,-0.0052
Belarus,1,0,0.1306
Belarus,1,1,0.1313
Belarus,1,10,0.2658
Belarus,1,11,0.3056
Belarus,1,12,0.3106
Belarus,1,13,0.3403
Belarus,1,14,0.3533
Belarus,1,15,0.3554
Belarus,1,16,0.3509
Belarus,1,17,0.3627
Belarus,1,18,0.3816
Belarus,1,19,0.4017
Belarus,1,2,0.1453
Belarus,1,20,0.4169
Belarus,1,21,0.4324
Belarus,1,22,0.4631
Belarus,1,23,0.4933
Belarus,1,24,0.5274
Belarus,1,25,0.5599
Belarus,1,26,0.5990
Belarus,1,27,0.6311
Belarus,1,3,0.1597
Belarus,1,4,0.1573
Belarus,1,5,0.1539
Belarus,1,6,0.1624
Belarus,1,7,0.1828
Belarus,1,8,0.1944
Belarus,1,9,0.2411
Belarus,15,0,0.8367
Belarus,15,1,0.8382
Belarus,15,10,0.8483
Belarus,15,11,0.8516
Belarus,15,12,0.8528
Belarus,15,13,0.8543
Belarus,15,14,0.8563
Belarus,15,15,0.8580
Belarus,15,16,0.8602
Belarus,15,17,0.8622
Belarus,15,18,0.8638
Belarus,15,19,0.8662
Belarus,15,2,0.8391
Belarus,15,20,0.8699
Belarus,15,21,0.8752
Belarus,15,22,0.8821
Belarus,15,23,0.8898
Belarus,15,24,0.8983
Belarus,15,25,0.9081
Belarus,15,26,0.9186
Belarus,15,27,0.9283
Belarus,15,3,0.8395
Belarus,15,4,0.8397
Belarus,15,5,0.8403
Belarus,15,6,0.8418
Belarus,15,7,0.8426
Belarus,15,8,0.8453
Belarus,15,9,0.8469
Belarus,3,0,0.3653
Belarus,3,1,0.3629
Belarus,3,10,0.4312
Belarus,3,11,0.4636
Belarus,3,12,0.4849
Belarus,3,13,0.5101
Belarus,3,14,0.5351
Belarus,3,15,0.5548
Belarus,3,16,0.5709
Belarus,3,17,0.5851
Belarus,3,18,0.5766
Belarus,3,19,0.5915
Belarus,3,2,0.3594
Belarus,3,20,0.6041
Belarus,3,21,0.6136
Belarus,3,22,0.6294
Belarus,3,23,0.6483
Belarus,3,24,0.6712
Belarus,3,25,0.6914
Belarus,3,26,0.7044
Belarus,3,27,0.7130
Belarus,3,3,0.3591
Belarus,3,4,0.3613
Belarus,3,5,0.3650
Belarus,3,6,0.3707
Belarus,3,7,0.3749
Belarus,3,8,0.3887
Belarus,3,9,0.4105
Belarus,7,0,0.5944
Belarus,7,1,0.5903
Belarus,7,10,0.6034
Belarus,7,11,0.6202
Belarus,7,12,0.6321
Belarus,7,13,0.6457
Belarus,7,14,0.6613
Belarus,7,15,0.6748
Belarus,7,16,0.6897
Belarus,7,17,0.7055
Belarus,7,18,0.7199
Belarus,7,19,0.7365
Belarus,7,2,0.5848
Belarus,7,20,0.7528
Belarus,7,21,0.7682
Belarus,7,22,0.7841
Belarus,7,23,0.8001
Belarus,7,24,0.8175
Belarus,7,25,0.8357
Belarus,7,26,0.8508
Belarus,7,27,0.8641
Belarus,7,3,0.5802
Belarus,7,4,0.5770
Belarus,7,5,0.5763
Belarus,7,6,0.5775
Belarus,7,7,0.5801
Belarus,7,8,0.5856
Belarus,7,9,0.5935
Belgium,0,0,0.8376
Belgium,0,1,0.8545
Belgium,0,10,0.8178
Belgium,0,11,0.8107
Belgium,0,12,0.7995
Belgium,0,13,0.7687
Belgium,0,14,0.7460
Belgium,0,15,0.7255
Belgium,0,16,0.7087
Belgium,0,17,0.6816
Belgium,0,18,0.6646
Belgium,0,19,0.6521
Belgium,0,2,0.8546
Belgium,0,20,0.6295
Belgium,0,21,0.6021
Belgium,0,22,0.5791
Belgium,0,23,0.5780
Belgium,0,24,0.5658
Belgium,0,25,0.5626
Belgium,0,26,0.5542
Belgium,0,27,0.5485
Belgium,0,3,0.8506
Belgium,0,4,0.8794
Belgium,0,5,0.8919
Belgium,0,6,0.8828
Belgium,0,7,0.8695
Belgium,0,8,0.8533
Belgium,0,9,0.8395
Belgium,1,0,0.8979
Belgium,1,1,0.9068
Belgium,1,10,0.8652
Belgium,1,11,0.8468
Belgium,1,12,0.8286
Belgium,1,13,0.8077
Belgium,1,14,0.7803
Belgium,1,15,0.7506
Belgium,1,16,0.7190
Belgium,1,17,0.6920
Belgium,1,18,0.6669
Belgium,1,19,0.6438
Belgium,1,2,0.9056
Belgium,1,20,0.6201
Belgium,1,21,0.5954
Belgium,1,22,0.5707
Belgium,1,23,0.5483
Belgium,1,24,0.5280
Belgium,1,25,0.5140
Belgium,1,26,0.5019
Belgium,1,27,0.4929
Belgium,1,3,0.9059
Belgium,1,4,0.9132
Belgium,1,5,0.9206
Belgium,1,6,0.9208
Belgium,1,7,0.9141
Belgium,1,8,0.9007
Belgium,1,9,0.8840
Belgium,15,0,0.9584
Belgium,15,1,0.9730
Belgium,15,10,0.9523
Belgium,15,11,0.9332
Belgium,15,12,0.9110
Belgium,15,13,0.8859
Belgium,15,14,0.8578
Belgium,15,15,0.8270
Belgium,15,16,0.7938
Belgium,15,17,0.7583
Belgium,15,18,0.7209
Belgium,15,19,0.6818
Belgium,15,2,0.9842
Belgium,15,20,0.6411
Belgium,15,21,0.5992
Belgium,15,22,0.5559
Belgium,15,23,0.5120
Belgium,15,24,0.4678
Belgium,15,25,0.4237
Belgium,15,26,0.3800
Belgium,15,27,0.3368
Belgium,15,3,0.9921
Belgium,15,4,0.9967
Belgium,15,5,0.9979
Belgium,15,6,0.9957
Belgium,15,7,0.9899
Belgium,15,8,0.9807
Belgium,15,9,0.9681
Belgium,3,0,0.9357
Belgium,3,1,0.9541
Belgium,3,10,0.9220
Belgium,3,11,0.8993
Belgium,3,12,0.8739
Belgium,3,13,0.8460
Belgium,3,14,0.8162
Belgium,3,15,0.7851
Belgium,3,16,0.7511
Belgium,3,17,0.7156
Belgium,3,18,0.6792
Belgium,3,19,0.6428
Belgium,3,2,0.9673
Belgium,3,20,0.6069
Belgium,3,21,0.5714
Belgium,3,22,0.5368
Belgium,3,23,0.5070
Belgium,3,24,0.4791
Belgium,3,25,0.4533
Belgium,3,26,0.4293
Belgium,3,27,0.4081
Belgium,3,3,0.9762
Belgium,3,4,0.9813
Belgium,3,5,0.9814
Belgium,3,6,0.9768
Belgium,3,7,0.9684
Belgium,3,8,0.9566
Belgium,3,9,0.9412
Belgium,7,0,0.9439
Belgium,7,1,0.9620
Belgium,7,10,0.9358
Belgium,7,11,0.9127
Belgium,7,12,0.8860
Belgium,7,13,0.8559
Belgium,7,14,0.8227
Belgium,7,15,0.7871
Belgium,7,16,0.7494
Belgium,7,17,0.7100
Belgium,7,18,0.6691
Belgium,7,19,0.6272
Belgium,7,2,0.9759
Belgium,7,20,0.5840
Belgium,7,21,0.5405
Belgium,7,22,0.4971
Belgium,7,23,0.4546
Belgium,7,24,0.4134
Belgium,7,25,0.3735
Belgium,7,26,0.3354
Belgium,7,27,0.2993
Belgium,7,3,0.9856
Belgium,7,4,0.9913
Belgium,7,5,0.9926
Belgium,7,6,0.9895
Belgium,7,7,0.9821
Belgium,7,8,0.9707
Belgium,7,9,0.9552
Bosnia and Herzegovina,0,0,0.1722
Bosnia and Herzegovina,0,1,0.2088
Bosnia and Herzegovina,0,10,0.3742
Bosnia and Herzegovina,0,11,0.5118
Bosnia and Herzegovina,0,12,0.5377
Bosnia and Herzegovina,0,13,0.4430
Bosnia and Herzegovina,0,14,0.3972
Bosnia and Herzegovina,0,15,0.4403
Bosnia and Herzegovina,0,16,0.3849
Bosnia and Herzegovina,0,17,0.4332
Bosnia and Herzegovina,0,18,0.6414
Bosnia and Herzegovina,0,19,0.6439
Bosnia and Herzegovina,0,2,0.2050
Bosnia and Herzegovina,0,20,0.4779
Bosnia and Herzegovina,0,21,0.5442
Bosnia and Herzegovina,0,22,0.5455
Bosnia and Herzegovina,0,23,0.4546
Bosnia and Herzegovina,0,24,0.5275
Bosnia and Herzegovina,0,25,0.7117
Bosnia and Herzegovina,0,26,0.5316
Bosnia and Herzegovina,0,27,0.4378
Bosnia and Herzegovina,0,3,0.2526
Bosnia and Herzegovina,0,4,0.3232
Bosnia and Herzegovina,0,5,0.4262
Bosnia and Herzegovina,0,6,0.3711
Bosnia and Herzegovina,0,7,0.3562
Bosnia and Herzegovina,0,8,0.3985
Bosnia and Herzegovina,0,9,0.3625
Bosnia and Herzegovina,1,0,0.2211
Bosnia and Herzegovina,1,1,0.2173
Bosnia and Herzegovina,1,10,0.5538
Bosnia and Herzegovina,1,11,0.5985
Bosnia and Herzegovina,1,12,0.6043
Bosnia and Herzegovina,1,13,0.5777
Bosnia and Herzegovina,1,14,0.5595
Bosnia and Herzegovina,1,15,0.5846
Bosnia and Herzegovina,1,16,0.6217
Bosnia and Herzegovina,1,17,0.6612
Bosnia and Herzegovina,1,18,0.7279
