Country,ISO3,2018,2017,2016,2015,2014,2013,2012
"Denmark",DNK,88,88,90,91,92,91,90
"New Zealand",NZL,87,89,90,91,91,91,90
"Finland",FIN,85,85,89,90,89,89,90
"Singapore",SGP,85,84,84,85,84,86,87
"Sweden",SWE,85,84,88,89,87,89,88
"Switzerland",CHE,85,85,86,86,86,85,86
"Norway",NOR,84,85,85,88,86,86,85
"Netherlands",NLD,82,82,83,84,83,83,84
"Canada",CAN,81,82,82,83,81,81,84
"Luxembourg",LUX,81,82,81,85,82,80,80
"Germany",DEU,80,81,81,81,79,78,79
"United Kingdom",GBR,80,82,81,81,78,76,74
"Australia",AUS,77,77,79,79,80,81,85
"Austria",AUT,76,75,75,76,72,69,69
"Hong Kong",HKG,76,77,77,75,74,75,77
"Iceland",ISL,76,77,78,79,79,78,82
"Belgium",BEL,75,75,77,77,76,75,75
"Estonia",EST,73,71,70,70,69,68,64
"Ireland",IRL,73,74,73,75,74,72,69
"Japan",JPN,73,73,72,75,76,74,74
"France",FRA,72,70,69,70,69,71,71
"United States of America",USA,71,75,74,76,74,73,73
"United Arab Emirates",ARE,70,71,66,70,70,69,68
"Uruguay",URY,70,70,71,74,73,73,72
"Barbados",BRB,68,68,61,,74,75,76
"Bhutan",BTN,68,67,65,65,65,63,63
"Chile",CHL,67,67,66,70,73,71,72
"Seychelles",SYC,66,60,,55,55,54,52
"Bahamas",BHS,65,65,66,,71,71,71
"Portugal",PRT,64,63,62,64,63,62,63
"Brunei Darussalam",BRN,63,62,58,,,60,55
"Taiwan",TWN,63,63,61,62,61,61,61
"Qatar",QAT,62,63,61,71,69,68,68
"Botswana",BWA,61,61,60,63,63,64,65
"Israel",ISR,61,62,64,61,60,61,60
"Poland",POL,60,60,62,63,61,60,58
"Slovenia",SVN,60,61,61,60,58,57,61
"Cyprus",CYP,59,57,55,61,63,63,66
"Czech Republic",CZE,59,57,55,56,51,48,49
"Lithuania",LTU,59,59,59,59,58,57,54
"Georgia",GEO,58,56,57,52,52,49,52
"Latvia",LVA,58,58,57,56,55,53,49
"Saint Vincent and the Grenadines",VCT,58,58,60,,62,62,62
"Spain",ESP,58,57,58,58,60,59,65
"Cabo Verde",CPV,57,55,59,55,57,58,60
"Dominica",DMA,57,57,59,,58,58,58
"Korea. South",KOR,57,54,53,54,55,55,56
"Costa Rica",CRI,56,59,58,55,54,53,54
"Rwanda",RWA,56,55,54,54,49,53,53
"Saint Lucia",LCA,55,55,60,,71,71,71
"Malta",MLT,54,56,55,60,55,56,57
"Namibia",NAM,53,51,52,53,49,48,48
"Grenada",GRD,52,52,56,,,,
"Italy",ITA,52,50,47,44,43,43,42
"Oman",OMN,52,44,45,45,45,47,47
"Mauritius",MUS,51,50,54,53,54,52,57
"Slovakia",SVK,50,50,51,51,50,47,46
"Jordan",JOR,49,48,48,53,49,45,48
"Saudi Arabia",SAU,49,49,46,52,49,46,44
"Croatia",HRV,48,49,49,51,48,48,46
"Cuba",CUB,47,47,47,47,46,46,48
"Malaysia",MYS,47,47,49,50,52,50,49
"Romania",ROU,47,48,48,46,43,43,44
"Hungary",HUN,46,45,48,51,54,54,55
"Sao Tome and Principe",STP,46,46,46,42,42,42,42
"Vanuatu",VUT,46,43,,,,,
"Greece",GRC,45,48,44,46,43,40,36
"Montenegro",MNE,45,46,45,44,42,44,41
"Senegal",SEN,45,45,45,44,43,41,36
"Belarus",BLR,44,44,40,32,31,29,31
"Jamaica",JAM,44,44,39,41,38,38,38
"Solomon Islands",SLB,44,39,42,,,,
"Morocco",MAR,43,40,37,36,39,37,37
"South Africa",ZAF,43,43,45,44,44,42,43
"Suriname",SUR,43,41,45,36,36,36,37
"Tunisia",TUN,43,42,41,38,40,41,41
"Bulgaria",BGR,42,43,41,41,43,41,41
"Burkina Faso",BFA,41,42,42,38,38,38,38
"Ghana",GHA,41,40,43,47,48,46,45
"India",IND,41,40,40,38,38,36,36
"Kuwait",KWT,41,39,41,49,44,43,44
"Lesotho",LSO,41,42,39,44,49,49,45
"Trinidad and Tobago",TTO,41,41,35,39,38,38,39
"Turkey",TUR,41,40,41,42,45,50,49
"Argentina",ARG,40,39,36,32,34,34,35
"Benin",BEN,40,39,36,37,39,36,36
"China",CHN,39,41,40,37,36,40,39
"Serbia",SRB,39,41,42,40,41,42,39
"Bosnia and Herzegovina",BIH,38,38,39,38,39,42,42
"Indonesia",IDN,38,37,37,36,34,32,32
"Sri Lanka",LKA,38,38,36,37,38,37,40
"Swaziland",SWZ,38,39,,,43,39,37
"Gambia",GMB,37,30,26,28,29,28,34
"Guyana",GUY,37,38,34,29,30,27,28
"Kosovo",KSV,37,39,36,33,33,33,34
"Macedonia",MKD,37,35,37,42,45,44,43
"Mongolia",MNG,37,36,38,39,39,38,36
"Panama",PAN,37,37,38,39,37,35,38
"Albania",ALB,36,38,39,36,33,31,33
"Bahrain",BHR,36,36,43,51,49,48,51
"Colombia",COL,36,37,37,37,37,36,36
"Philippines",PHL,36,34,35,35,38,36,34
"Tanzania",TZA,36,36,32,30,31,33,35
"Thailand",THA,36,37,35,38,38,35,37
"Algeria",DZA,35,33,34,36,36,36,34
"Armenia",ARM,35,35,33,35,37,36,34
"Brazil",BRA,35,37,40,38,43,42,43
"Cote d'Ivoire",CIV,35,36,34,32,32,27,29
"Egypt",EGY,35,32,34,36,37,32,32
"El Salvador",SLV,35,33,36,39,39,38,38
"Peru",PER,35,37,35,36,38,38,38
"Timor-Leste",TLS,35,38,35,28,28,30,33
"Zambia",ZMB,35,37,38,38,38,38,37
"Ecuador",ECU,34,32,31,32,33,35,32
"Ethiopia",ETH,34,35,34,33,33,33,33
"Niger",NER,34,33,35,34,35,34,33
"Moldova",MDA,33,31,30,33,35,35,36
"Pakistan",PAK,33,32,32,30,29,28,27
"Vietnam",VNM,33,35,33,31,31,31,31
"Liberia",LBR,32,31,37,37,37,38,41
"Malawi",MWI,32,31,31,31,33,37,37
"Mali",MLI,32,31,32,35,32,28,34
"Ukraine",UKR,32,30,29,27,26,25,26
"Djibouti",DJI,31,31,30,34,34,36,36
"Gabon",GAB,31,32,35,34,37,34,35
"Kazakhstan",KAZ,31,31,29,28,29,26,28
"Maldives",MDV,31,33,36,,,,
"Nepal",NPL,31,31,29,27,29,31,27
"Dominican Republic",DOM,30,29,31,33,32,29,32
"Sierra Leone",SLE,30,30,30,29,31,30,31
"Togo",TGO,30,32,32,32,29,29,30
"Bolivia",BOL,29,33,33,34,35,34,34
"Honduras",HND,29,29,30,31,29,26,28
"Kyrgyzstan",KGZ,29,29,28,28,27,24,24
"Laos",LAO,29,29,30,25,25,26,21
