gn,gender
AARON,M
ABEL,M
ADAM,M
ADEL,M
ADELA,F
ADELLA,F
ADEM,M
ADI,M
ADIS,M
ADNA,F
ADNAN,M
ADRIAN,M
ADRIANA,F
ADRIANO,M
ADRIJAN,M
ADRIJNA,F
AFRODITA,F
AGATA,F
AIDA,F
AJDIN,M
AJLA,F
ALAN,M
ALBANIT,M
ALBERT,M
ALBERTO,M
ALBINA,F
ALBION,M
ALDIN,M
ALDO,M
ALEK,M
ALEKS,M
ALEKSA,M
ALEKSANDAR,M
ALEKSANDRA,F
ALEKSEJ,M
ALEN,M
ALENA,F
ALESSANDRO,M
ALESSIA,F
ALEX,M
ALEXANDAR,M
ALEXANDRA,F
ALINA,F
ALISA,F
ALJOŠA,F
ALMA,F
ALMIR,M
ALOJZ,M
ALOJZIJE,M
ALTHEA,F
AMADEO,M
AMALIA,F
AMALIJA,F
AMANDA,F
AMAR,M
AMARIE,F
AMEL,M
AMELIE,F
AMELIJA,F
AMINA,F
AMIR,M
ANA,F
ANABEL,F
ANABELA,F
ANAI,F
ANAJA,F
ANALAURA,F
ANAMARI,F
ANAMARIA,F
ANAMARIJA,F
ANASTASIJA,F
ANASTAZIJA,F
ANDAL,M
ANDELINO,M
ANDI,M
ANDOR,M
ANDRE,M
ANDREA,F
ANDREAS,M
ANDREJ,M
ANDREJA,F
ANDREY,M
ANDRIA,F
ANDRIAN,M
ANDRIJA,M
ANDRIJAN,M
ANDRIJANA,F
ANDRIK,M
ANDRO,M
ANDY,M
ANE,F
ANEJ,M
ANEJA,F
ANEL,M
ANELA,F
ANELLA,F
ANETA,F
ANGELA,F
ANGELINA,F
ANGELO,M
ANI,F
ANIBAL,M
ANICA,F
ANIKA,F
ANIS,M
ANISIA,F
ANISSA,F
ANITA,F
ANJA,F
ANKA,F
ANKICA,F
ANNA,F
ANNAMARIA,F
ANNEA,F
ANSELMO,M
ANTE,M
ANTEA,F
ANTEO,M
ANTICA,F
ANTO,M
ANTON,M
ANTONELA,F
ANTONELLA,F
ANTONI,M
ANTONIA,F
ANTONIJA,F
ANTONIJE,M
ANTONIJO,M
ANTONINA,F
ANTONIO,M
ANTONJELA,F
ANTONY,M
ANTUN,M
ANĐELA,F
ANĐELINA,F
ANĐELO,M
ANČI,F
ANĐA,F
ANĐELA,F
ANĐELINA,F
ANĐELINO,M
ANĐELIĆ,M
ANĐELKO,M
ANĐELO,M
ARANĐEL,M
ARDIAN,M
ARDIJAN,M
ARDITA,F
ARIAN,M
ARIANA,F
ARIANNA,F
ARIELA,F
ARIJAN,M
ARIJANA,F
ARISTEA,F
ARLEN,F
ARMANDO,M
ARMANO,M
ARMIN,M
ARNELLA,F
ARON,M
ARSEN,M
ARTUR,M
ARWEN,F
ASIA,F
ASIM,M
ASJA,F
ASTRID,F
