year,v2x_polyarchy,v2x_polyarchy_codelow,v2x_polyarchy_codehigh,v2x_polyarchy_sd,v2x_libdem,v2x_libdem_codelow,v2x_libdem_codehigh,v2x_libdem_sd,v2x_partipdem,v2x_partipdem_codelow,v2x_partipdem_codehigh,v2x_partipdem_sd,v2x_delibdem,v2x_delibdem_codelow,v2x_delibdem_codehigh,v2x_delibdem_sd,v2x_egaldem,v2x_egaldem_codelow,v2x_egaldem_codehigh,v2x_egaldem_sd,v2x_api,v2x_api_codelow,v2x_api_codehigh,v2x_api_sd,v2x_mpi,v2x_mpi_codelow,v2x_mpi_codehigh,v2x_mpi_sd,v2x_freexp_altinf,v2x_freexp_altinf_codelow,v2x_freexp_altinf_codehigh,v2x_freexp_altinf_sd,v2x_frassoc_thick,v2x_frassoc_thick_codelow,v2x_frassoc_thick_codehigh,v2x_frassoc_thick_sd,v2x_suffr,v2xel_frefair,v2xel_frefair_codelow,v2xel_frefair_codehigh,v2xel_frefair_sd,v2x_elecoff,v2x_liberal,v2x_liberal_codelow,v2x_liberal_codehigh,v2x_liberal_sd,v2xcl_rol,v2xcl_rol_codelow,v2xcl_rol_codehigh,v2xcl_rol_sd,v2x_jucon,v2x_jucon_codelow,v2x_jucon_codehigh,v2x_jucon_sd,v2xlg_legcon,v2xlg_legcon_codelow,v2xlg_legcon_codehigh,v2xlg_legcon_sd,v2x_partip,v2x_partip_codelow,v2x_partip_codehigh,v2x_partip_sd,v2x_cspart,v2x_cspart_codelow,v2x_cspart_codehigh,v2x_cspart_sd,v2xdd_dd,v2xel_locelec,v2xel_locelec_codelow,v2xel_locelec_codehigh,v2xel_locelec_sd,v2xel_regelec,v2xel_regelec_codelow,v2xel_regelec_codehigh,v2xel_regelec_sd,v2xdl_delib,v2xdl_delib_codelow,v2xdl_delib_codehigh,v2xdl_delib_sd,v2x_egal,v2x_egal_codelow,v2x_egal_codehigh,v2x_egal_sd,v2xeg_eqprotec,v2xeg_eqprotec_codelow,v2xeg_eqprotec_codehigh,v2xeg_eqprotec_sd,v2xeg_eqaccess,v2xeg_eqaccess_codelow,v2xeg_eqaccess_codehigh,v2xeg_eqaccess_sd,v2xeg_eqdr,v2xeg_eqdr_codelow,v2xeg_eqdr_codehigh,v2xeg_eqdr_sd
1990,0.237,0.217,0.26,0.021,0.093,0.075,0.111,0.018,0.12,0.097,0.137,0.02,0.249,0.217,0.283,0.033,0.253,0.226,0.276,0.025,0.475,0.435,0.521,0.043,0,0,0,0,0.576,0.481,0.66,0.593,0.261,0.181,0.354,0.61,1,0.56,0.433,0.683,0.628,0,0.225,0.162,0.277,0.057,0.215,0.143,0.293,0.605,0.05,0.02,0.106,0.665,0.383,0.238,0.527,0.655,0.311,0.25,0.375,0.063,0.263,0.129,0.437,0.69,0.033,0.628,0.512,0.738,0.113,0.01,0,0.019,0.024,0.739,0.614,0.83,0.631,0.754,0.675,0.827,0.077,0.626,0.469,0.78,0.667,0.755,0.56,0.892,0.709,0.914,0.835,0.959,0.654
1991,0.254,0.232,0.277,0.023,0.126,0.104,0.146,0.021,0.155,0.134,0.177,0.022,0.26,0.23,0.294,0.033,0.252,0.226,0.278,0.026,0.505,0.462,0.551,0.045,0.002,0.001,0.003,0.001,0.604,0.502,0.685,0.593,0.327,0.23,0.426,0.611,1,0.578,0.442,0.689,0.628,1,0.318,0.25,0.382,0.067,0.296,0.217,0.391,0.603,0.191,0.109,0.313,0.65,0.453,0.306,0.607,0.657,0.411,0.34,0.468,0.066,0.362,0.204,0.543,0.681,0.188,0.681,0.584,0.797,0.11,0.016,0,0.03,0.027,0.752,0.65,0.848,0.629,0.727,0.644,0.802,0.08,0.633,0.471,0.778,0.668,0.717,0.516,0.867,0.702,0.863,0.771,0.934,0.649
1992,0.504,0.442,0.559,0.059,0.301,0.256,0.339,0.043,0.313,0.272,0.354,0.042,0.412,0.351,0.465,0.059,0.347,0.295,0.397,0.052,0.743,0.701,0.784,0.042,0.266,0.187,0.338,0.076,0.813,0.74,0.866,0.593,0.56,0.447,0.659,0.61,1,0.603,0.484,0.724,0.625,1,0.518,0.453,0.597,0.072,0.636,0.536,0.729,0.605,0.373,0.257,0.521,0.641,0.542,0.401,0.705,0.652,0.551,0.491,0.616,0.063,0.617,0.431,0.784,0.684,0.188,0.855,0.784,0.947,0.083,0.364,0.258,0.466,0.102,0.79,0.673,0.87,0.633,0.629,0.537,0.712,0.087,0.566,0.398,0.733,0.672,0.667,0.48,0.847,0.701,0.675,0.537,0.773,0.634
1993,0.48,0.421,0.531,0.055,0.293,0.249,0.332,0.043,0.304,0.266,0.344,0.04,0.379,0.319,0.434,0.058,0.339,0.288,0.385,0.05,0.723,0.682,0.764,0.041,0.237,0.165,0.303,0.07,0.813,0.74,0.866,0.593,0.561,0.448,0.661,0.61,1,0.552,0.44,0.667,0.589,0.5,0.524,0.449,0.593,0.074,0.64,0.559,0.742,0.601,0.373,0.257,0.521,0.641,0.636,0.465,0.801,0.682,0.559,0.499,0.624,0.063,0.617,0.431,0.784,0.684,0.212,0.855,0.784,0.947,0.083,0.364,0.258,0.466,0.102,0.746,0.643,0.848,0.63,0.637,0.558,0.733,0.088,0.586,0.433,0.757,0.672,0.667,0.48,0.847,0.701,0.669,0.558,0.802,0.638
1994,0.478,0.42,0.536,0.059,0.296,0.255,0.335,0.043,0.304,0.262,0.342,0.042,0.381,0.326,0.433,0.055,0.336,0.279,0.377,0.05,0.724,0.68,0.765,0.044,0.232,0.153,0.299,0.075,0.813,0.74,0.866,0.593,0.578,0.472,0.69,0.611,1,0.528,0.4,0.651,0.627,1,0.54,0.468,0.61,0.07,0.661,0.547,0.74,0.606,0.349,0.225,0.499,0.647,0.623,0.472,0.759,0.652,0.559,0.499,0.625,0.062,0.617,0.431,0.784,0.684,0.212,0.855,0.784,0.947,0.083,0.572,0.46,0.662,0.102,0.756,0.661,0.852,0.626,0.637,0.556,0.729,0.087,0.582,0.413,0.737,0.671,0.667,0.48,0.847,0.701,0.656,0.531,0.775,0.637
1995,0.479,0.418,0.536,0.06,0.301,0.253,0.335,0.043,0.304,0.264,0.345,0.042,0.382,0.329,0.437,0.055,0.326,0.278,0.378,0.051,0.724,0.68,0.768,0.044,0.234,0.158,0.308,0.076,0.804,0.735,0.865,0.594,0.578,0.472,0.689,0.611,1,0.528,0.399,0.65,0.627,1,0.549,0.485,0.625,0.07,0.671,0.577,0.761,0.604,0.349,0.225,0.499,0.647,0.623,0.472,0.759,0.652,0.559,0.499,0.625,0.062,0.617,0.431,0.784,0.684,0.212,0.855,0.784,0.947,0.083,0.572,0.46,0.662,0.102,0.756,0.661,0.852,0.626,0.615,0.518,0.694,0.088,0.582,0.413,0.737,0.671,0.598,0.38,0.774,0.699,0.656,0.531,0.775,0.637
1996,0.468,0.413,0.524,0.057,0.296,0.251,0.334,0.042,0.297,0.262,0.341,0.04,0.374,0.326,0.43,0.054,0.32,0.268,0.364,0.049,0.716,0.673,0.758,0.043,0.218,0.148,0.287,0.072,0.804,0.733,0.864,0.597,0.575,0.46,0.678,0.613,1,0.495,0.356,0.609,0.626,1,0.549,0.482,0.626,0.071,0.675,0.572,0.761,0.606,0.349,0.225,0.499,0.647,0.623,0.472,0.759,0.652,0.559,0.499,0.625,0.062,0.617,0.431,0.784,0.684,0.212,0.855,0.784,0.947,0.083,0.572,0.46,0.662,0.102,0.756,0.661,0.852,0.626,0.611,0.538,0.718,0.092,0.573,0.399,0.729,0.675,0.586,0.406,0.785,0.698,0.693,0.581,0.827,0.644
1997,0.462,0.411,0.519,0.055,0.289,0.248,0.327,0.041,0.295,0.258,0.335,0.04,0.354,0.296,0.407,0.057,0.319,0.267,0.36,0.048,0.713,0.67,0.753,0.042,0.212,0.144,0.28,0.069,0.804,0.721,0.86,0.597,0.575,0.46,0.678,0.613,1,0.471,0.339,0.591,0.625,1,0.54,0.466,0.607,0.071,0.667,0.564,0.748,0.603,0.338,0.215,0.471,0.645,0.623,0.472,0.759,0.652,0.559,0.499,0.625,0.062,0.617,0.431,0.784,0.684,0.212,0.855,0.784,0.947,0.083,0.572,0.46,0.662,0.102,0.709,0.595,0.819,0.633,0.614,0.523,0.7,0.09,0.573,0.399,0.729,0.675,0.597,0.411,0.794,0.702,0.693,0.581,0.827,0.644
1998,0.462,0.411,0.519,0.055,0.285,0.244,0.321,0.04,0.293,0.256,0.333,0.04,0.354,0.296,0.407,0.057,0.318,0.268,0.364,0.048,0.713,0.67,0.753,0.042,0.212,0.144,0.28,0.069,0.804,0.721,0.86,0.597,0.575,0.46,0.678,0.613,1,0.471,0.339,0.591,0.625,1,0.531,0.455,0.594,0.069,0.667,0.564,0.748,0.603,0.307,0.181,0.431,0.647,0.623,0.472,0.759,0.652,0.556,0.496,0.621,0.062,0.617,0.431,0.784,0.684,0.202,0.855,0.784,0.947,0.083,0.572,0.46,0.662,0.102,0.709,0.595,0.819,0.633,0.609,0.52,0.702,0.092,0.579,0.412,0.748,0.676,0.597,0.411,0.794,0.702,0.693,0.581,0.827,0.644
1999,0.463,0.411,0.52,0.055,0.285,0.242,0.322,0.04,0.289,0.249,0.325,0.039,0.354,0.297,0.407,0.057,0.32,0.268,0.36,0.048,0.713,0.671,0.754,0.042,0.213,0.144,0.281,0.07,0.804,0.721,0.86,0.597,0.576,0.461,0.679,0.612,1,0.473,0.34,0.592,0.625,1,0.527,0.454,0.597,0.071,0.67,0.572,0.757,0.603,0.307,0.181,0.431,0.647,0.623,0.472,0.759,0.652,0.546,0.49,0.614,0.062,0.599,0.424,0.766,0.681,0.191,0.855,0.784,0.947,0.083,0.572,0.46,0.662,0.102,0.709,0.595,0.819,0.633,0.622,0.545,0.721,0.089,0.593,0.41,0.738,0.672,0.597,0.411,0.794,0.702,0.693,0.581,0.827,0.644
2000,0.415,0.357,0.461,0.052,0.228,0.194,0.262,0.035,0.258,0.221,0.29,0.036,0.311,0.257,0.362,0.054,0.291,0.243,0.329,0.044,0.667,0.622,0.715,0.046,0.164,0.1,0.214,0.059,0.607,0.521,0.697,0.592,0.544,0.426,0.642,0.61,1,0.512,0.385,0.637,0.629,1,0.445,0.373,0.512,0.07,0.623,0.526,0.719,0.603,0.22,0.114,0.321,0.646,0.484,0.334,0.649,0.659,0.527,0.462,0.596,0.064,0.562,0.383,0.747,0.687,0.181,0.84,0.763,0.934,0.089,0.513,0.416,0.615,0.1,0.663,0.536,0.766,0.629,0.61,0.518,0.703,0.091,0.547,0.35,0.706,0.677,0.599,0.404,0.786,0.696,0.69,0.575,0.815,0.638
2001,0.382,0.331,0.424,0.047,0.209,0.176,0.238,0.031,0.236,0.203,0.265,0.032,0.293,0.248,0.347,0.049,0.267,0.225,0.304,0.039,0.635,0.587,0.679,0.046,0.129,0.077,0.171,0.049,0.546,0.454,0.638,0.592,0.482,0.384,0.596,0.607,1,0.51,0.378,0.63,0.625,1,0.428,0.355,0.491,0.067,0.618,0.523,0.714,0.603,0.159,0.087,0.273,0.644,0.484,0.334,0.649,0.659,0.504,0.438,0.573,0.065,0.531,0.345,0.707,0.685,0.17,0.825,0.74,0.922,0.092,0.513,0.416,0.615,0.1,0.663,0.536,0.766,0.629,0.591,0.503,0.682,0.088,0.538,0.374,0.703,0.669,0.545,0.359,0.739,0.69,0.69,0.575,0.815,0.638
2002,0.36,0.309,0.393,0.044,0.181,0.154,0.212,0.029,0.218,0.185,0.242,0.029,0.28,0.23,0.326,0.047,0.262,0.222,0.296,0.037,0.613,0.573,0.661,0.045,0.107,0.056,0.135,0.043,0.526,0.439,0.618,0.59,0.423,0.315,0.517,0.605,1,0.498,0.371,0.62,0.626,1,0.374,0.308,0.438,0.065,0.599,0.493,0.687,0.602,0.159,0.087,0.273,0.644,0.348,0.232,0.531,0.656,0.481,0.414,0.546,0.065,0.474,0.294,0.658,0.685,0.16,0.825,0.74,0.922,0.092,0.513,0.416,0.615,0.1,0.66,0.536,0.771,0.628,0.607,0.518,0.688,0.086,0.544,0.372,0.704,0.671,0.545,0.359,0.739,0.69,0.732,0.614,0.823,0.629
